"country","country2","who.region","region.mortality","iso"
"Bahrain","Bahrain","EMR","EMR.B","BHR"
"Cyprus","Cyprus","EMR","EMR.B","CYP"
"Iran","Iran","EMR","EMR.B","IRN"
"Jordan","Jordan","EMR","EMR.B","JOR"
"Kuwait","Kuwait","EMR","EMR.B","KWT"
"Lebanon","Lebanon","EMR","EMR.B","LBN"
"Libya","Libya","EMR","EMR.B","LBY"
"Oman","Oman","EMR","EMR.B","OMN"
"Qatar","Qatar","EMR","EMR.B","QAT"
"Saudi Arabia","Saudi Arabia","EMR","EMR.B","SAU"
"Syrian Arab Republic","Syrian Arab Republic","EMR","EMR.B","SYR"
"Tunisia","Tunisia","EMR","EMR.B","TUN"
"United Arab Emirates","United Arab Emirates","EMR","EMR.B","ARE"
"Afghanistan","Afghanistan","EMR","EMR.D","AFG"
"Djibouti","Djibouti","EMR","EMR.D","DJI"
"Egypt","Egypt","EMR","EMR.D","EGY"
"Iraq","Iraq","EMR","EMR.D","IRQ"
"Morocco","Morocco","EMR","EMR.D","MAR"
"Pakistan","Pakistan","EMR","EMR.D","PAK"
"Somalia","Somalia","EMR","EMR.D","SOM"
"Sudan","Sudan","EMR","EMR.D","SDN"
"Yemen","Yemen","EMR","EMR.D","YEM"
"Algeria","Algeria","AFR","AFR.D","DZA"
"Angola","Angola","AFR","AFR.D","AGO"
"Benin","Benin","AFR","AFR.D","BEN"
"Burkina Faso","Burkina Faso","AFR","AFR.D","BFA"
"Cameroon","Cameroon","AFR","AFR.D","CMR"
"Cape Verde","Cape Verde","AFR","AFR.D","CPV"
"Chad","Chad","AFR","AFR.D","TCD"
"Equatorial Guinea","Equatorial Guinea","AFR","AFR.D","GNQ"
"Gabon","Gabon","AFR","AFR.D","GAB"
"Gambia","Gambia","AFR","AFR.D","GMB"
"Ghana","Ghana","AFR","AFR.D","GHA"
"Guinea","Guinea","AFR","AFR.D","GIN"
"Guinea-Bissau","Guinea-Bissau","AFR","AFR.D","GNB"
"Liberia","Liberia","AFR","AFR.D","LBR"
"Madagascar","Madagascar","AFR","AFR.D","MDG"
"Mali","Mali","AFR","AFR.D","MLI"
"Mauritania","Mauritania","AFR","AFR.D","MRT"
"Mauritius","Mauritius","AFR","AFR.D","MUS"
"Niger","Niger","AFR","AFR.D","NER"
"Nigeria","Nigeria","AFR","AFR.D","NGA"
"Sao Tome and Principe","Sao Tome and Principe","AFR","AFR.D","STP"
"Senegal","Senegal","AFR","AFR.D","SEN"
"Seychelles","Seychelles","AFR","AFR.D","SYC"
"Sierra Leone","Sierra Leone","AFR","AFR.D","SLE"
"Togo","Togo","AFR","AFR.D","TGO"
"Botswana","Botswana","AFR","AFR.E","BWA"
"Burundi","Burundi","AFR","AFR.E","BDI"
"Central African Republic","Central African Republic","AFR","AFR.E","CAF"
"Congo","Congo","AFR","AFR.E","COG"
"Cote d'Ivoire","Cote d'Ivoire","AFR","AFR.E","CIV"
"Comoros","Comoros","AFR","AFR.E","COM"
"Democratic Republic of Congo","Congo - Kinshasa","AFR","AFR.E","COD"
"Eritrea","Eritrea","AFR","AFR.E","ERI"
"Ethiopia","Ethiopia","AFR","AFR.E","ETH"
"Kenya","Kenya","AFR","AFR.E","KEN"
"Lesotho","Lesotho","AFR","AFR.E","LSO"
"Malawi","Malawi","AFR","AFR.E","MWI"
"Mozambique","Mozambique","AFR","AFR.E","MOZ"
"Namibia","Namibia","AFR","AFR.E","NAM"
"Rwanda","Rwanda","AFR","AFR.E","RWA"
"South Africa","South Africa","AFR","AFR.E","ZAF"
"Swaziland","Swaziland","AFR","AFR.E","SWZ"
"Uganda","Uganda","AFR","AFR.E","UGA"
"United Republic of Tanzania","Tanzania","AFR","AFR.E","TZA"
"Zambia","Zambia","AFR","AFR.E","ZMB"
"Zimbabwe","Zimbabwe","AFR","AFR.E","ZWE"
"Andorra","Andorra","EUR","EUR.A","AND"
"Austria","Austria","EUR","EUR.A","AUT"
"Belgium","Belgium","EUR","EUR.A","BEL"
"Croatia","Croatia","EUR","EUR.A","HRV"
"Czech Republic","Czechia","EUR","EUR.A","CZE"
"Denmark","Denmark","EUR","EUR.A","DNK"
"Finland","Finland","EUR","EUR.A","FIN"
"France","France","EUR","EUR.A","FRA"
"Germany","Germany","EUR","EUR.A","DEU"
"Greece","Greece","EUR","EUR.A","GRC"
"Iceland","Iceland","EUR","EUR.A","ISL"
"Ireland","Ireland","EUR","EUR.A","IRL"
"Israel","Israel","EUR","EUR.A","ISR"
"Italy","Italy","EUR","EUR.A","ITA"
"Luxembourg","Luxembourg","EUR","EUR.A","LUX"
"Malta","Malta","EUR","EUR.A","MLT"
"Monaco","Monaco","EUR","EUR.A","MCO"
"Netherlands","Netherlands","EUR","EUR.A","NLD"
"Norway","Norway","EUR","EUR.A","NOR"
"Portugal","Portugal","EUR","EUR.A","PRT"
"San Marino","San Marino","EUR","EUR.A","SMR"
"Slovenia","Slovenia","EUR","EUR.A","SVN"
"Spain","Spain","EUR","EUR.A","ESP"
"Sweden","Sweden","EUR","EUR.A","SWE"
"Switzerland","Switzerland","EUR","EUR.A","CHE"
"United Kingdom","United Kingdom","EUR","EUR.A","GBR"
"Albania","Albania","EUR","EUR.B","ALB"
"Armenia","Armenia","EUR","EUR.B","ARM"
"Azerbaijan","Azerbaijan","EUR","EUR.B","AZE"
"Bosnia and Herzegovina","Bosnia and Herzegovina","EUR","EUR.B","BIH"
"Bulgaria","Bulgaria","EUR","EUR.B","BGR"
"Georgia","Georgia","EUR","EUR.B","GEO"
"Kyrgyzstan","Kyrgyzstan","EUR","EUR.B","KGZ"
"Poland","Poland","EUR","EUR.B","POL"
"Romania","Romania","EUR","EUR.B","ROU"
"Slovakia","Slovakia","EUR","EUR.B","SVK"
"Tajikistan","Tajikistan","EUR","EUR.B","TJK"
"The former Yugoslav Republic of Macedonia","The former Yugoslav Republic of Macedonia","EUR","EUR.B","MKD"
"Turkey","Turkey","EUR","EUR.B","TUR"
"Turkmenistan","Turkmenistan","EUR","EUR.B","TKM"
"Uzbekistan","Uzbekistan","EUR","EUR.B","UZB"
"Belarus","Belarus","EUR","EUR.C","BLR"
"Estonia","Estonia","EUR","EUR.C","EST"
"Hungary","Hungary","EUR","EUR.C","HUN"
"Kazakhstan","Kazakhstan","EUR","EUR.C","KAZ"
"Latvia","Latvia","EUR","EUR.C","LVA"
"Lithuania","Lithuania","EUR","EUR.C","LTU"
"Republic of Moldova","Moldova","EUR","EUR.C","MDA"
"Russian Federation","Russia","EUR","EUR.C","RUS"
"Ukraine","Ukraine","EUR","EUR.C","UKR"
"Canada","Canada","AMR","AMR.A","CAN"
"Cuba","Cuba","AMR","AMR.A","CUB"
"United States of America","United States of America","AMR","AMR.A","USA"
"Antigua and Barbuda","Antigua and Barbuda","AMR","AMR.B","ATG"
"Argentina","Argentina","AMR","AMR.B","ARG"
"Bahamas","Bahamas","AMR","AMR.B","BHS"
"Barbados","Barbados","AMR","AMR.B","BRB"
"Belize","Belize","AMR","AMR.B","BLZ"
"Brazil","Brazil","AMR","AMR.B","BRA"
"Chile","Chile","AMR","AMR.B","CHL"
"Colombia","Colombia","AMR","AMR.B","COL"
"Costa Rica","Costa Rica","AMR","AMR.B","CRI"
"Dominica","Dominica","AMR","AMR.B","DMA"
"Dominican Republic","Dominican Republic","AMR","AMR.B","DOM"
"El Salvador","El Salvador","AMR","AMR.B","SLV"
"Grenada","Grenada","AMR","AMR.B","GRD"
"Guyana","Guyana","AMR","AMR.B","GUY"
"Honduras","Honduras","AMR","AMR.B","HND"
"Jamaica","Jamaica","AMR","AMR.B","JAM"
"Mexico","Mexico","AMR","AMR.B","MEX"
"Panama","Panama","AMR","AMR.B","PAN"
"Paraguay","Paraguay","AMR","AMR.B","PRY"
"Saint Kitts and Nevis","Saint Kitts and Nevis","AMR","AMR.B","KNA"
"Saint Lucia","Saint Lucia","AMR","AMR.B","LCA"
"Saint Vincent and the Grenadines","Saint Vincent and the Grenadines","AMR","AMR.B","VCT"
"Suriname","Suriname","AMR","AMR.B","SUR"
"Trinidad and Tobago","Trinidad and Tobago","AMR","AMR.B","TTO"
"Uruguay","Uruguay","AMR","AMR.B","URY"
"Venezuela","Venezuela","AMR","AMR.B","VEN"
"Bolivia","Bolivia","AMR","AMR.D","BOL"
"Ecuador","Ecuador","AMR","AMR.D","ECU"
"Guatemala","Guatemala","AMR","AMR.D","GTM"
"Haiti","Haiti","AMR","AMR.D","HTI"
"Nicaragua","Nicaragua","AMR","AMR.D","NIC"
"Peru","Peru","AMR","AMR.D","PER"
"Indonesia","Indonesia","SEAR","SEAR.B","IDN"
"Sri Lanka","Sri Lanka","SEAR","SEAR.B","LKA"
"Thailand","Thailand","SEAR","SEAR.B","THA"
"Timor-Leste","Timor-Leste","SEAR","SEAR.B","TLS"
"Bangladesh","Bangladesh","SEAR","SEAR.D","BGD"
"Bhutan","Bhutan","SEAR","SEAR.D","BTN"
"Democratic People’s Republic of Korea","North Korea","SEAR","SEAR.D","PRK"
"India","India","SEAR","SEAR.D","IND"
"Maldives","Maldives","SEAR","SEAR.D","MDV"
"Myanmar","Myanmar","SEAR","SEAR.D","MMR"
"Nepal","Nepal","SEAR","SEAR.D","NPL"
"Australia","Australia","WPR","WPR.A","AUS"
"Brunei Darussalam","Brunei Darussalam","WPR","WPR.A","BRN"
"Japan","Japan","WPR","WPR.A","JPN"
"New Zealand","New Zealand","WPR","WPR.A","NZL"
"Singapore","Singapore","WPR","WPR.A","SGP"
"Cambodia","Cambodia","WPR","WPR.B","KHM"
"China","China","WPR","WPR.B","CHN"
"Cook Islands","Cook Islands","WPR","WPR.B","COK"
"Fiji","Fiji","WPR","WPR.B","FJI"
"Kiribati","Kiribati","WPR","WPR.B","KIR"
"Lao People’s Democratic Republic","Laos","WPR","WPR.B","LAO"
"Malaysia","Malaysia","WPR","WPR.B","MYS"
"Marshall Islands","Marshall Islands","WPR","WPR.B","MHL"
"Micronesia, Federated States of","Micronesia","WPR","WPR.B","FSM"
"Mongolia","Mongolia","WPR","WPR.B","MNG"
"Nauru","Nauru","WPR","WPR.B","NRU"
"Niue","Niue","WPR","WPR.B","NIU"
"Palau","Palau","WPR","WPR.B","PLW"
"Papua New Guinea","Papua New Guinea","WPR","WPR.B","PNG"
"Philippines","Philippines","WPR","WPR.B","PHL"
"Republic of Korea","Republic of Korea","WPR","WPR.B","KOR"
"Samoa","Samoa","WPR","WPR.B","WSM"
"Solomon Islands","Solomon Islands","WPR","WPR.B","SLB"
"Tonga","Tonga","WPR","WPR.B","TON"
"Tuvalu","Tuvalu","WPR","WPR.B","TUV"
"Vanuatu","Vanuatu","WPR","WPR.B","VUT"
"Viet Nam","Viet Nam","WPR","WPR.B","VNM"
