source,destination,t,this.sim
Hubei,EWR,2020-01-21,1
Hubei,JFK,2020-01-19,1
Hubei,JFK,2020-01-23,12
Hubei,SYR,2020-01-18,1
AUT,EWR,2020-02-23,1
BHR,JFK,2020-02-28,1
CA,EWR,2020-02-24,1
CA,JFK,2020-02-22,2
CA,JFK,2020-02-23,1
CHE,EWR,2020-02-26,1
CHE,JFK,2020-02-25,1
ESP,JFK,2020-02-28,2
FL,BDL,2020-02-21,1
FL,BUF,2020-02-25,1
FL,ROC,2020-02-23,1
FRA,EWR,2020-02-28,1
FRA,JFK,2020-02-22,1
GA,LGA,2020-02-28,1
GBR,EWR,2020-02-21,1
GBR,EWR,2020-02-25,1
GBR,JFK,2020-02-23,1
GBR,JFK,2020-02-24,1
ISL,EWR,2020-02-22,1
ISL,EWR,2020-02-25,1
ISL,JFK,2020-02-23,1
ITA,EWR,2020-02-18,1
ITA,EWR,2020-02-21,1
ITA,EWR,2020-02-25,2
ITA,EWR,2020-02-26,2
ITA,EWR,2020-02-28,1
ITA,JFK,2020-02-23,6
ITA,JFK,2020-02-25,1
ITA,JFK,2020-02-26,5
ITA,JFK,2020-02-27,5
KOR,JFK,2020-02-08,1
KOR,JFK,2020-02-18,6
KOR,JFK,2020-02-26,1
NC,FOK,2020-02-24,1
NOR,EWR,2020-02-25,1
NOR,JFK,2020-02-24,1
NY,BUF,2020-02-27,1
NY,JFK,2020-02-27,1
NY,TEB,2020-02-25,1
RI,LGA,2020-02-20,1
SGP,JFK,2020-02-05,1
SWE,EWR,2020-02-27,1
SWE,EWR,2020-02-28,1
SWE,JFK,2020-02-27,1
TX,JFK,2020-02-28,1
WA,EWR,2020-02-28,1
WA,JFK,2020-02-26,2
WA,JFK,2020-02-27,2
AL,BDL,2020-03-10,1
AL,BUF,2020-03-14,1
AL,LGA,2020-03-09,1
AL,LGA,2020-03-17,2
AR,LGA,2020-03-05,1
AR,LGA,2020-03-13,1
ARE,JFK,2020-03-22,1
AUT,JFK,2020-03-09,1
AZ,ALB,2020-03-16,1
AZ,BDL,2020-03-13,1
AZ,BDL,2020-03-18,1
AZ,BUF,2020-03-17,1
AZ,EWR,2020-03-01,1
AZ,EWR,2020-03-09,1
AZ,EWR,2020-03-11,1
AZ,EWR,2020-03-13,5
AZ,EWR,2020-03-14,1
AZ,EWR,2020-03-15,2
AZ,EWR,2020-03-16,1
AZ,EWR,2020-03-20,1
AZ,EWR,2020-03-23,1
AZ,JFK,2020-03-11,3
AZ,JFK,2020-03-13,2
AZ,JFK,2020-03-14,5
AZ,JFK,2020-03-16,1
AZ,JFK,2020-03-17,2
AZ,JFK,2020-03-21,3
AZ,LGA,2020-03-22,1
AZ,ROC,2020-03-15,1
AZ,ROC,2020-03-16,1
BEL,BUF,2020-03-03,1
BEL,JFK,2020-03-12,1
BEL,JFK,2020-03-18,1
CA,ALB,2020-03-16,1
CA,ALB,2020-03-18,1
CA,ALB,2020-03-22,1
CA,BUF,2020-03-08,1
CA,BUF,2020-03-11,1
CA,BUF,2020-03-13,1
CA,EWR,2020-03-11,3
CA,EWR,2020-03-12,4
CA,EWR,2020-03-14,4
CA,EWR,2020-03-16,2
CA,EWR,2020-03-19,3
CA,EWR,2020-03-21,4
CA,EWR,2020-03-22,5
CA,EWR,2020-03-24,4
CA,EWR,2020-03-27,2
CA,EWR,2020-03-29,6
CA,EWR,2020-03-31,3
CA,HPN,2020-03-08,1
CA,JFK,2020-03-10,3
CA,JFK,2020-03-11,1
CA,JFK,2020-03-12,1
CA,JFK,2020-03-13,1
CA,JFK,2020-03-14,18
CA,JFK,2020-03-15,13
CA,JFK,2020-03-16,11
CA,JFK,2020-03-18,4
CA,JFK,2020-03-19,4
CA,JFK,2020-03-20,1
CA,JFK,2020-03-21,5
CA,JFK,2020-03-23,14
CA,JFK,2020-03-24,1
CA,JFK,2020-03-25,8
CA,JFK,2020-03-26,1
CA,JFK,2020-03-28,6
CA,JFK,2020-03-29,5
CA,JFK,2020-03-31,1
CA,LGA,2020-03-17,2
CA,LGA,2020-03-19,1
CA,LGA,2020-03-23,1
CA,LGA,2020-03-28,1
CA,ROC,2020-03-18,1
CA,ROC,2020-03-19,1
CA,SYR,2020-03-16,1
CAN,EWR,2020-03-14,1
CAN,EWR,2020-03-18,1
CAN,EWR,2020-03-19,3
CAN,EWR,2020-03-24,1
CAN,EWR,2020-03-29,1
CAN,EWR,2020-03-31,1
CAN,LGA,2020-03-05,1
CAN,LGA,2020-03-14,1
CAN,LGA,2020-03-20,1
CAN,LGA,2020-03-21,2
CAN,LGA,2020-03-25,1
CHE,EWR,2020-03-05,1
CHE,EWR,2020-03-10,1
CHE,EWR,2020-03-16,2
CHE,EWR,2020-03-20,1
CHE,EWR,2020-03-28,2
CHE,JFK,2020-03-03,3
CHE,JFK,2020-03-05,2
CHE,JFK,2020-03-07,1
CHE,JFK,2020-03-09,1
CHE,JFK,2020-03-10,1
CHE,JFK,2020-03-15,1
CHE,JFK,2020-03-18,1
CHE,JFK,2020-03-28,1
CO,ART,2020-03-28,1
CO,BDL,2020-03-07,1
CO,BDL,2020-03-22,1
CO,BGM,2020-03-25,1
CO,BUF,2020-03-11,1
CO,EWR,2020-03-11,1
CO,EWR,2020-03-12,1
CO,EWR,2020-03-15,3
CO,EWR,2020-03-17,2
CO,EWR,2020-03-22,5
CO,EWR,2020-03-26,1
CO,EWR,2020-03-27,1
CO,EWR,2020-03-29,1
CO,HPN,2020-03-20,1
CO,HVN,2020-03-23,1
CO,ITH,2020-03-19,1
CO,JFK,2020-03-09,1
CO,JFK,2020-03-10,3
CO,JFK,2020-03-12,2
CO,JFK,2020-03-19,4
CO,JFK,2020-03-26,4
CO,LGA,2020-03-02,1
CO,LGA,2020-03-05,1
CO,LGA,2020-03-09,1
CO,LGA,2020-03-11,4
CO,LGA,2020-03-13,1
CO,LGA,2020-03-15,5
CO,LGA,2020-03-16,1
CO,LGA,2020-03-17,1
CO,LGA,2020-03-19,2
CO,LGA,2020-03-22,2
CO,LGA,2020-03-23,2
CO,LGA,2020-03-25,1
CO,ROC,2020-03-09,1
CO,ROC,2020-03-15,2
CO,SYR,2020-03-05,1
CO,SYR,2020-03-21,1
CT,ACY,2020-03-19,1
CT,ACY,2020-03-26,1
CT,BUF,2020-03-15,1
CT,ELM,2020-03-19,1
CT,FRG,2020-03-19,1
CT,FRG,2020-03-29,1
CT,HTO,2020-03-12,2
CT,PCT,2020-03-16,1
CT,ROC,2020-03-19,1
CT,TEB,2020-03-13,1
CT,TEB,2020-03-30,1
CT,WSH,2020-03-15,1
CZE,JFK,2020-03-22,1
DC,ALB,2020-03-16,1
DC,ALB,2020-03-26,1
DC,ALB,2020-03-29,1
DC,BDL,2020-03-15,1
DC,BDL,2020-03-17,4
DC,BDL,2020-03-18,2
DC,BDL,2020-03-20,2
DC,BDL,2020-03-24,1
DC,BDL,2020-03-26,1
DC,BDL,2020-03-30,5
DC,BUF,2020-03-17,1
DC,BUF,2020-03-19,1
DC,EWR,2020-03-12,1
DC,EWR,2020-03-15,4
DC,EWR,2020-03-17,2
DC,EWR,2020-03-18,1
DC,EWR,2020-03-20,1
DC,EWR,2020-03-22,1
DC,EWR,2020-03-31,1
DC,FID,2020-03-27,1
DC,FRG,2020-03-31,1
DC,HPN,2020-03-15,4
DC,HPN,2020-03-17,1
DC,HPN,2020-03-22,1
DC,HPN,2020-03-28,1
DC,ISP,2020-03-17,1
DC,JFK,2020-03-08,2
DC,JFK,2020-03-10,1
DC,JFK,2020-03-15,4
DC,JFK,2020-03-16,1
DC,JFK,2020-03-21,3
DC,JFK,2020-03-30,1
DC,LGA,2020-03-07,2
DC,LGA,2020-03-10,3
DC,LGA,2020-03-14,2
DC,LGA,2020-03-15,3
DC,LGA,2020-03-17,1
DC,LGA,2020-03-19,1
DC,LGA,2020-03-24,2
DC,LGA,2020-03-26,4
DC,LGA,2020-03-27,1
DC,ROC,2020-03-12,1
DC,ROC,2020-03-14,2
DC,ROC,2020-03-25,1
DC,ROC,2020-03-28,1
DC,SYR,2020-03-09,2
DC,TEB,2020-03-20,1
DC,TEB,2020-03-21,1
DE,TEB,2020-03-14,1
DEU,EWR,2020-03-08,2
DEU,EWR,2020-03-10,1
DEU,EWR,2020-03-11,1
DEU,EWR,2020-03-15,4
DEU,EWR,2020-03-16,1
DEU,EWR,2020-03-22,1
DEU,JFK,2020-03-04,1
DEU,JFK,2020-03-07,2
DEU,JFK,2020-03-08,9
DEU,JFK,2020-03-16,1
DEU,JFK,2020-03-26,1
DEU,LGA,2020-03-16,1
DNK,EWR,2020-03-14,2
DOM,EWR,2020-03-14,1
DOM,JFK,2020-03-29,1
ESP,EWR,2020-03-06,3
ESP,EWR,2020-03-13,1
ESP,EWR,2020-03-15,2
ESP,EWR,2020-03-21,2
ESP,EWR,2020-03-23,1
ESP,JFK,2020-03-01,2
ESP,JFK,2020-03-04,4
ESP,JFK,2020-03-06,1
ESP,JFK,2020-03-14,3
ESP,JFK,2020-03-16,1
ESP,JFK,2020-03-17,1
ESP,JFK,2020-03-19,1
ESP,JFK,2020-03-24,1
ESP,JFK,2020-03-25,1
EST,JFK,2020-03-04,1
FL,ACY,2020-03-06,1
FL,ACY,2020-03-07,1
FL,ACY,2020-03-16,9
