source,destination,t,this.sim
Hubei,EWR,2020-01-23,1
Hubei,JFK,2020-01-19,1
Hubei,JFK,2020-01-21,1
Hubei,JFK,2020-01-23,1
Hubei,ROC,2020-01-23,1
Shanghai,JFK,2020-01-20,1
AUT,EWR,2020-02-27,1
AUT,JFK,2020-02-21,1
AZ,JFK,2020-02-25,1
BHR,JFK,2020-02-27,1
CA,JFK,2020-02-26,2
CA,SYR,2020-02-21,1
CAN,EWR,2020-02-25,1
CHE,ALB,2020-02-28,1
CHE,EWR,2020-02-24,1
DEU,JFK,2020-02-21,1
DEU,JFK,2020-02-26,1
DEU,JFK,2020-02-28,1
ESP,JFK,2020-02-28,1
FL,EWR,2020-02-28,1
FL,LGA,2020-02-21,1
FRA,JFK,2020-02-24,1
FRA,JFK,2020-02-28,2
GA,EWR,2020-02-28,1
GBR,EWR,2020-02-25,1
GBR,JFK,2020-02-05,1
GBR,JFK,2020-02-20,1
IL,LGA,2020-02-23,1
IN,ROC,2020-02-26,1
ISL,EWR,2020-02-27,2
ISL,JFK,2020-02-17,1
ISR,JFK,2020-02-21,1
ISR,JFK,2020-02-23,2
ISR,JFK,2020-02-28,1
ITA,EWR,2020-02-13,1
ITA,EWR,2020-02-24,4
ITA,JFK,2020-02-18,1
ITA,JFK,2020-02-22,1
ITA,JFK,2020-02-23,2
ITA,JFK,2020-02-24,6
ITA,JFK,2020-02-25,10
ITA,JFK,2020-02-26,8
JPN,JFK,2020-02-24,1
KOR,BUF,2020-02-28,1
KOR,EWR,2020-02-15,1
KOR,JFK,2020-02-14,1
KOR,JFK,2020-02-19,1
KOR,JFK,2020-02-21,1
KOR,JFK,2020-02-24,2
KOR,JFK,2020-02-25,2
MA,DXR,2020-02-22,1
MD,ROC,2020-02-26,1
NC,LGA,2020-02-27,1
NLD,JFK,2020-02-26,2
NY,CDW,2020-02-27,1
NY,HFD,2020-02-27,1
NY,JFK,2020-02-27,3
NY,JFK,2020-02-28,1
PA,SYR,2020-02-24,1
SGP,JFK,2020-02-04,1
SGP,JFK,2020-02-27,1
WA,EWR,2020-02-27,2
WA,EWR,2020-02-28,1
WA,JFK,2020-02-27,1
AK,EWR,2020-03-31,1
AL,BDL,2020-03-02,1
AL,EWR,2020-03-15,4
AL,EWR,2020-03-21,1
AL,LGA,2020-03-13,1
AL,LGA,2020-03-14,1
AR,EWR,2020-03-13,1
AR,LGA,2020-03-08,1
AR,LGA,2020-03-10,2
AR,ROC,2020-03-30,1
ATG,JFK,2020-03-14,1
AUT,JFK,2020-03-12,1
AZ,BDL,2020-03-10,1
AZ,BDL,2020-03-16,1
AZ,BUF,2020-03-14,1
AZ,EWR,2020-03-11,1
AZ,EWR,2020-03-12,3
AZ,EWR,2020-03-14,2
AZ,EWR,2020-03-18,7
AZ,EWR,2020-03-24,1
AZ,EWR,2020-03-26,1
AZ,EWR,2020-03-31,2
AZ,JFK,2020-03-09,1
AZ,JFK,2020-03-14,1
AZ,JFK,2020-03-15,1
AZ,JFK,2020-03-17,2
AZ,JFK,2020-03-18,6
AZ,JFK,2020-03-19,1
AZ,JFK,2020-03-20,1
AZ,JFK,2020-03-21,1
AZ,JFK,2020-03-29,1
AZ,LGA,2020-03-14,1
AZ,LGA,2020-03-19,1
AZ,LGA,2020-03-20,1
AZ,LGA,2020-03-22,1
AZ,ROC,2020-03-20,1
AZ,SYR,2020-03-14,1
AZ,SYR,2020-03-27,1
BEL,EWR,2020-03-20,1
