source,destination,t,this.sim
CA,EWR,2020-01-24,1
CA,JFK,2020-01-20,1
GBR,JFK,2020-01-24,1
Hubei,EWR,2020-01-18,1
Hubei,JFK,2020-01-20,4
Hubei,JFK,2020-01-23,3
CA,EWR,2020-02-27,1
CA,JFK,2020-02-25,1
CAN,EWR,2020-02-25,1
CAN,LGA,2020-02-20,1
CHE,JFK,2020-02-27,1
DEU,EWR,2020-02-23,1
DEU,JFK,2020-02-19,1
DOM,EWR,2020-02-24,1
FL,ISP,2020-02-25,1
FL,LGA,2020-02-27,1
FRA,EWR,2020-02-28,1
FRA,JFK,2020-02-28,2
IRL,JFK,2020-02-27,1
IRN,EWR,2020-02-23,1
ISL,EWR,2020-02-20,1
ISL,JFK,2020-02-23,1
ITA,EWR,2020-02-27,3
ITA,JFK,2020-02-22,1
ITA,JFK,2020-02-24,5
ITA,JFK,2020-02-27,2
ITA,JFK,2020-02-28,1
KOR,JFK,2020-02-17,2
KOR,JFK,2020-02-19,1
KOR,JFK,2020-02-22,3
MA,FRG,2020-02-27,1
MA,LGA,2020-02-28,2
NLD,JFK,2020-02-23,1
NOR,EWR,2020-02-26,1
NOR,EWR,2020-02-28,1
NY,EWR,2020-02-25,1
NY,LKP,2020-02-26,1
NY,TEB,2020-02-27,1
SWE,EWR,2020-02-23,1
SWE,JFK,2020-02-24,1
TX,LGA,2020-02-24,1
WA,EWR,2020-02-28,1
WA,JFK,2020-02-27,2
WA,JFK,2020-02-28,1
AL,ALB,2020-03-14,1
AL,BDL,2020-03-21,1
AL,EWR,2020-03-25,1
AL,LGA,2020-03-21,1
AL,LGA,2020-03-22,1
ALB,JFK,2020-03-07,1
AR,JFK,2020-03-11,1
AUT,JFK,2020-03-02,1
AUT,JFK,2020-03-10,2
AUT,JFK,2020-03-11,1
AZ,BDL,2020-03-17,1
AZ,EWR,2020-03-11,1
AZ,EWR,2020-03-15,4
AZ,EWR,2020-03-16,2
AZ,EWR,2020-03-18,2
AZ,EWR,2020-03-27,1
AZ,EWR,2020-03-29,1
AZ,JFK,2020-03-13,1
AZ,JFK,2020-03-14,1
AZ,JFK,2020-03-16,2
AZ,JFK,2020-03-18,1
AZ,JFK,2020-03-28,1
BRB,JFK,2020-03-20,1
CA,ALB,2020-03-11,1
CA,BDL,2020-03-08,2
CA,BDL,2020-03-16,2
CA,BDL,2020-03-17,2
CA,BDL,2020-03-19,2
CA,BDL,2020-03-21,1
CA,BUF,2020-03-06,1
CA,BUF,2020-03-13,3
CA,BUF,2020-03-21,1
CA,EWR,2020-03-05,3
CA,EWR,2020-03-08,1
CA,EWR,2020-03-09,8
CA,EWR,2020-03-10,1
CA,EWR,2020-03-11,2
CA,EWR,2020-03-16,4
CA,EWR,2020-03-17,7
CA,EWR,2020-03-19,3
CA,EWR,2020-03-20,2
CA,EWR,2020-03-25,2
CA,EWR,2020-03-26,6
CA,EWR,2020-03-28,1
CA,JFK,2020-03-01,1
CA,JFK,2020-03-05,1
CA,JFK,2020-03-07,3
CA,JFK,2020-03-08,6
CA,JFK,2020-03-11,13
CA,JFK,2020-03-12,2
CA,JFK,2020-03-16,11
CA,JFK,2020-03-18,3
CA,JFK,2020-03-19,1
CA,JFK,2020-03-20,10
CA,JFK,2020-03-21,6
CA,JFK,2020-03-24,4
CA,JFK,2020-03-26,4
CA,JFK,2020-03-27,1
CA,JFK,2020-03-30,1
CA,JFK,2020-03-31,5
CA,LGA,2020-03-10,1
CA,LGA,2020-03-13,1
CA,ROC,2020-03-17,1
CA,SWF,2020-03-14,1
CA,SYR,2020-03-16,2
CA,SYR,2020-03-24,1
CAN,EWR,2020-03-12,2
CAN,EWR,2020-03-23,1
CAN,EWR,2020-03-25,1
CAN,EWR,2020-03-27,2
CAN,JFK,2020-03-29,2
CAN,LGA,2020-03-14,2
CAN,LGA,2020-03-19,1
CHE,EWR,2020-03-07,1
CHE,EWR,2020-03-10,1
CHE,EWR,2020-03-11,1
CHE,EWR,2020-03-13,1
CHE,EWR,2020-03-23,1
CHE,JFK,2020-03-01,2
CHE,JFK,2020-03-05,1
CHE,JFK,2020-03-14,2
CHE,JFK,2020-03-18,2
CHE,JFK,2020-03-31,1
CO,ALB,2020-03-21,1
CO,BDL,2020-03-24,2
CO,BDL,2020-03-31,1
CO,EWR,2020-03-05,2
CO,EWR,2020-03-08,2
CO,EWR,2020-03-10,1
CO,EWR,2020-03-11,2
CO,EWR,2020-03-12,2
CO,EWR,2020-03-13,4
CO,EWR,2020-03-21,2
CO,EWR,2020-03-29,2
CO,HPN,2020-03-19,1
CO,JFK,2020-03-04,1
CO,JFK,2020-03-05,1
CO,JFK,2020-03-08,1
CO,JFK,2020-03-21,2
CO,JFK,2020-03-22,1
CO,JFK,2020-03-31,1
CO,LGA,2020-03-01,1
CO,LGA,2020-03-04,1
CO,LGA,2020-03-13,1
CO,LGA,2020-03-15,4
CO,LGA,2020-03-16,15
CO,LGA,2020-03-18,2
CO,LGA,2020-03-23,1
CO,LGA,2020-03-24,1
CO,LGA,2020-03-30,4
CO,ROC,2020-03-16,1
CO,SYR,2020-03-22,1
COL,EWR,2020-03-13,1
CT,FRG,2020-03-13,1
CT,FRG,2020-03-20,1
CT,HTO,2020-03-18,2
CT,HTO,2020-03-31,1
CT,TEB,2020-03-06,1
CT,TEB,2020-03-23,1
CT,TTN,2020-03-03,1
CT,TTN,2020-03-13,1
CT,TTN,2020-03-22,1
CT,WSH,2020-03-19,1
DC,ALB,2020-03-13,1
DC,ALB,2020-03-15,1
DC,ALB,2020-03-20,1
DC,BDL,2020-03-09,1
DC,BDL,2020-03-13,1
DC,BDL,2020-03-16,7
DC,BDL,2020-03-17,1
DC,BDL,2020-03-20,3
DC,BDL,2020-03-21,4
DC,BDL,2020-03-27,1
DC,BDL,2020-03-31,1
DC,BUF,2020-03-30,2
DC,EWR,2020-03-10,1
DC,EWR,2020-03-14,1
DC,EWR,2020-03-16,1
DC,EWR,2020-03-25,1
DC,EWR,2020-03-27,1
DC,FID,2020-03-15,2
DC,HPN,2020-03-06,1
DC,HPN,2020-03-10,1
DC,HPN,2020-03-17,1
DC,HPN,2020-03-25,2
DC,ISP,2020-03-25,1
DC,JFK,2020-03-09,1
DC,JFK,2020-03-12,1
DC,JFK,2020-03-18,4
DC,JFK,2020-03-20,1
DC,JFK,2020-03-22,4
DC,JFK,2020-03-29,1
DC,LGA,2020-03-06,5
DC,LGA,2020-03-09,3
DC,LGA,2020-03-10,3
DC,LGA,2020-03-13,1
DC,LGA,2020-03-14,1
DC,LGA,2020-03-15,10
DC,LGA,2020-03-16,1
DC,LGA,2020-03-22,2
DC,LGA,2020-03-29,1
DC,ROC,2020-03-11,2
DC,SYR,2020-03-08,1
DC,SYR,2020-03-22,1
DC,TEB,2020-03-22,1
DC,TEB,2020-03-23,1
DE,HPN,2020-03-29,1
