source,destination,t,this.sim
Beijing,JFK,2020-01-23,1
Hubei,BGM,2020-01-22,1
Hubei,JFK,2020-01-17,1
Hubei,JFK,2020-01-21,1
Hubei,JFK,2020-01-22,2
ATG,JFK,2020-02-26,1
AZ,JFK,2020-02-27,1
CA,BDL,2020-02-19,1
CA,ROC,2020-02-27,1
CAN,BDL,2020-02-24,1
CHE,EWR,2020-02-26,1
CHE,JFK,2020-02-25,1
CHE,JFK,2020-02-27,3
DEU,JFK,2020-02-24,1
DNK,EWR,2020-02-28,2
ESP,EWR,2020-02-16,1
ESP,JFK,2020-02-25,1
FL,BDL,2020-02-28,1
FL,BUF,2020-02-27,1
FL,EWR,2020-02-27,2
FRA,JFK,2020-02-25,1
FRA,JFK,2020-02-27,1
GA,JFK,2020-02-28,1
GBR,EWR,2020-02-24,2
IN,EWR,2020-02-27,1
IRL,JFK,2020-02-26,1
ISL,EWR,2020-02-22,2
ISL,EWR,2020-02-24,1
ISL,EWR,2020-02-27,1
ISL,JFK,2020-02-22,1
ISL,JFK,2020-02-25,1
ISR,EWR,2020-02-24,1
ISR,JFK,2020-02-23,1
ISR,JFK,2020-02-25,4
ITA,EWR,2020-02-15,1
ITA,EWR,2020-02-20,1
ITA,EWR,2020-02-24,1
ITA,EWR,2020-02-26,2
ITA,JFK,2020-02-18,3
ITA,JFK,2020-02-20,3
ITA,JFK,2020-02-21,1
ITA,JFK,2020-02-25,6
ITA,JFK,2020-02-26,2
ITA,JFK,2020-02-27,1
KOR,JFK,2020-02-09,1
KOR,JFK,2020-02-15,1
KOR,JFK,2020-02-21,1
KOR,JFK,2020-02-22,8
KOR,JFK,2020-02-28,1
MA,LGA,2020-02-27,1
NC,BDL,2020-02-17,1
NC,BDL,2020-02-28,1
NOR,EWR,2020-02-22,1
NOR,EWR,2020-02-28,2
NOR,JFK,2020-02-22,1
NOR,JFK,2020-02-27,1
NOR,JFK,2020-02-28,1
NY,BUF,2020-02-26,1
NY,HTO,2020-02-26,1
NY,WWD,2020-02-28,1
SD,EWR,2020-02-28,1
SGP,EWR,2020-02-07,1
SWE,EWR,2020-02-23,1
SWE,JFK,2020-02-26,1
TN,LGA,2020-02-27,1
VT,LGA,2020-02-24,1
WA,EWR,2020-02-27,2
WA,JFK,2020-02-24,1
WA,JFK,2020-02-26,1
WI,LGA,2020-02-28,1
AL,EWR,2020-03-27,1
AL,LGA,2020-03-14,1
AL,LGA,2020-03-15,1
AL,LGA,2020-03-17,2
AR,BUF,2020-03-10,1
AR,EWR,2020-03-09,1
AR,LGA,2020-03-11,1
AR,SYR,2020-03-12,1
ARE,JFK,2020-03-26,1
AUS,JFK,2020-03-11,1
AUT,JFK,2020-03-10,1
AZ,BDL,2020-03-15,1
AZ,EWR,2020-03-12,7
AZ,EWR,2020-03-17,4
AZ,EWR,2020-03-23,3
AZ,JFK,2020-03-15,4
AZ,JFK,2020-03-16,1
AZ,JFK,2020-03-17,1
AZ,JFK,2020-03-19,3
AZ,JFK,2020-03-20,1
AZ,JFK,2020-03-31,1
AZ,ROC,2020-03-17,1
BEL,EWR,2020-03-04,1
BEL,EWR,2020-03-07,1
BEL,JFK,2020-03-06,1
BEL,JFK,2020-03-11,1
BEL,JFK,2020-03-16,3
BEL,JFK,2020-03-18,1
BEL,JFK,2020-03-21,1
BHS,BDL,2020-03-28,1
BIH,EWR,2020-03-01,1
BRB,ALB,2020-03-27,1
CA,BDL,2020-03-02,1
CA,BDL,2020-03-14,1
CA,BDL,2020-03-19,1
CA,BDL,2020-03-20,1
CA,BDL,2020-03-22,1
CA,BUF,2020-03-19,1
CA,BUF,2020-03-26,1
CA,EWR,2020-03-06,7
CA,EWR,2020-03-09,12
CA,EWR,2020-03-17,2
CA,EWR,2020-03-20,16
CA,EWR,2020-03-21,1
CA,EWR,2020-03-24,5
CA,EWR,2020-03-28,11
CA,EWR,2020-03-29,4
CA,JFK,2020-03-01,1
CA,JFK,2020-03-03,1
CA,JFK,2020-03-04,5
CA,JFK,2020-03-05,8
CA,JFK,2020-03-06,7
CA,JFK,2020-03-07,1
CA,JFK,2020-03-08,10
CA,JFK,2020-03-10,3
