source,destination,t,this.sim
Hubei,JFK,2020-01-15,1
Hubei,JFK,2020-01-19,1
Hubei,JFK,2020-01-20,1
Jiangsu,JFK,2020-01-25,1
SGP,EWR,2020-01-31,1
ATG,BDL,2020-02-28,1
CA,EWR,2020-02-27,1
CA,JFK,2020-02-23,2
CA,JFK,2020-02-25,1
CAN,EWR,2020-02-08,1
CAN,EWR,2020-02-23,1
CAN,EWR,2020-02-27,1
CHE,JFK,2020-02-23,1
CHE,JFK,2020-02-26,1
CHE,JFK,2020-02-28,2
DEU,EWR,2020-02-19,1
DEU,JFK,2020-02-25,1
DEU,JFK,2020-02-26,2
DNK,EWR,2020-02-25,1
ESP,EWR,2020-02-27,1
FL,EWR,2020-02-28,1
FL,ROC,2020-02-27,1
FRA,EWR,2020-02-27,1
FRA,EWR,2020-02-28,1
FRA,JFK,2020-02-18,1
FRA,JFK,2020-02-27,2
HI,JFK,2020-02-23,1
ISL,EWR,2020-02-21,1
ISL,EWR,2020-02-25,1
ISL,JFK,2020-02-24,3
ISR,JFK,2020-02-25,1
ISR,JFK,2020-02-27,1
ITA,EWR,2020-02-18,1
ITA,EWR,2020-02-21,1
ITA,EWR,2020-02-24,3
ITA,JFK,2020-02-14,1
ITA,JFK,2020-02-22,3
ITA,JFK,2020-02-23,1
ITA,JFK,2020-02-25,1
ITA,JFK,2020-02-26,11
ITA,JFK,2020-02-27,2
ITA,JFK,2020-02-28,6
KOR,JFK,2020-02-18,1
KOR,JFK,2020-02-20,1
KOR,JFK,2020-02-23,2
LA,JFK,2020-02-28,1
MA,HVN,2020-02-27,1
MA,LGA,2020-02-28,4
MA,TEB,2020-02-27,1
MA,TTN,2020-02-26,1
NLD,JFK,2020-02-27,1
NY,EWR,2020-02-26,1
NY,FID,2020-02-24,1
NY,FOK,2020-02-26,1
NY,LGA,2020-02-26,1
SGP,JFK,2020-02-15,1
SWE,EWR,2020-02-24,1
WA,BDL,2020-02-23,1
WA,EWR,2020-02-25,1
WA,JFK,2020-02-18,1
WA,JFK,2020-02-21,1
WA,JFK,2020-02-22,1
WA,JFK,2020-02-23,1
WA,JFK,2020-02-26,3
AL,ALB,2020-03-18,1
AL,BDL,2020-03-16,2
AL,BDL,2020-03-24,1
AL,LGA,2020-03-19,1
AL,LGA,2020-03-26,1
AL,SYR,2020-03-30,1
AR,BDL,2020-03-22,1
AR,BUF,2020-03-17,1
AR,EWR,2020-03-12,1
AR,EWR,2020-03-15,2
AR,ROC,2020-03-30,1
ARE,JFK,2020-03-01,1
AUS,EWR,2020-03-15,1
AUS,JFK,2020-03-12,2
AUT,EWR,2020-03-23,1
AUT,JFK,2020-03-08,1
AUT,JFK,2020-03-11,1
AUT,JFK,2020-03-26,1
AZ,ALB,2020-03-22,1
AZ,BDL,2020-03-16,1
AZ,BUF,2020-03-12,2
AZ,BUF,2020-03-23,1
AZ,EWR,2020-03-16,10
AZ,EWR,2020-03-17,1
AZ,EWR,2020-03-19,1
AZ,EWR,2020-03-26,1
AZ,EWR,2020-03-28,1
AZ,JFK,2020-03-09,2
AZ,JFK,2020-03-17,1
AZ,JFK,2020-03-21,2
AZ,JFK,2020-03-24,2
AZ,JFK,2020-03-26,1
AZ,LGA,2020-03-16,1
BEL,EWR,2020-03-16,1
BEL,EWR,2020-03-29,1
BEL,JFK,2020-03-04,1
BEL,JFK,2020-03-06,1
CA,ALB,2020-03-14,1
CA,ALB,2020-03-18,1
CA,ALB,2020-03-19,1
CA,ALB,2020-03-27,1
CA,BDL,2020-03-04,1
CA,BDL,2020-03-09,1
CA,BDL,2020-03-10,1
CA,BDL,2020-03-22,1
CA,BDL,2020-03-24,2
CA,BGM,2020-03-31,1
CA,BUF,2020-03-03,1
CA,BUF,2020-03-26,1
CA,ELM,2020-03-07,1
CA,ELM,2020-03-16,1
CA,EWR,2020-03-01,1
CA,EWR,2020-03-02,4
CA,EWR,2020-03-04,6
CA,EWR,2020-03-05,3
CA,EWR,2020-03-06,5
CA,EWR,2020-03-07,2
CA,EWR,2020-03-11,1
CA,EWR,2020-03-12,11
CA,EWR,2020-03-16,9
CA,EWR,2020-03-20,4
CA,EWR,2020-03-22,1
CA,EWR,2020-03-23,11
CA,EWR,2020-03-24,3
CA,EWR,2020-03-27,5
CA,EWR,2020-03-28,1
CA,EWR,2020-03-30,1
CA,HPN,2020-03-08,1
CA,ISP,2020-03-19,1
CA,ISP,2020-03-28,1
CA,ITH,2020-03-24,1
CA,JFK,2020-03-01,4
CA,JFK,2020-03-03,4
CA,JFK,2020-03-04,2
CA,JFK,2020-03-05,1
CA,JFK,2020-03-06,17
CA,JFK,2020-03-08,2
CA,JFK,2020-03-13,12
CA,JFK,2020-03-14,3
CA,JFK,2020-03-19,17
CA,JFK,2020-03-20,1
CA,JFK,2020-03-22,2
CA,JFK,2020-03-31,6
CA,LGA,2020-03-08,3
CA,LGA,2020-03-29,1
CA,ROC,2020-03-18,1
CA,SLK,2020-03-11,1
CAN,BDL,2020-03-24,1
CAN,EWR,2020-03-14,3
CAN,EWR,2020-03-15,1
CAN,HVN,2020-03-20,1
CAN,LGA,2020-03-09,1
CAN,LGA,2020-03-13,1
CAN,LGA,2020-03-16,1
CAN,LGA,2020-03-25,2
CAN,LGA,2020-03-29,1
CHE,BDL,2020-03-12,1
CHE,EWR,2020-03-06,2
CHE,EWR,2020-03-10,3
CHE,EWR,2020-03-25,1
CHE,JFK,2020-03-03,5
CHE,JFK,2020-03-06,1
CHE,JFK,2020-03-11,1
CHE,JFK,2020-03-15,1
CHE,JFK,2020-03-31,1
CHL,JFK,2020-03-14,1
CO,ALB,2020-03-14,1
CO,ALB,2020-03-15,1
CO,BDL,2020-03-08,1
