source,destination,t,this.sim
Beijing,EWR,2020-01-20,1
Beijing,JFK,2020-01-20,1
Hubei,JFK,2020-01-19,2
Hubei,JFK,2020-01-22,2
IL,EWR,2020-01-20,1
CA,EWR,2020-02-27,1
CA,EWR,2020-02-28,3
CAN,EWR,2020-02-19,1
CHE,EWR,2020-02-24,1
CHE,EWR,2020-02-25,1
CHE,JFK,2020-02-25,1
DEU,JFK,2020-02-22,1
FIN,JFK,2020-02-25,1
GA,LGA,2020-02-25,1
IL,BDL,2020-02-27,1
ISL,EWR,2020-02-21,1
ISL,EWR,2020-02-24,1
ITA,EWR,2020-02-21,1
ITA,EWR,2020-02-25,1
ITA,JFK,2020-02-24,4
ITA,JFK,2020-02-26,1
KOR,JFK,2020-02-18,1
MI,LGA,2020-02-28,1
RI,HTO,2020-02-18,1
TN,SYR,2020-02-28,1
WA,BUF,2020-02-27,1
WA,EWR,2020-02-23,1
WA,JFK,2020-02-22,1
AK,EWR,2020-03-15,1
AK,JFK,2020-03-21,1
AL,ALB,2020-03-14,2
AL,BDL,2020-03-14,1
AR,HPN,2020-03-13,1
ARE,JFK,2020-03-12,1
AUT,EWR,2020-03-04,1
AZ,ALB,2020-03-17,1
AZ,BUF,2020-03-11,1
AZ,BUF,2020-03-16,1
AZ,BUF,2020-03-27,1
AZ,EWR,2020-03-14,1
AZ,EWR,2020-03-20,1
AZ,EWR,2020-03-30,1
AZ,JFK,2020-03-24,1
AZ,ROC,2020-03-16,1
AZ,ROC,2020-03-20,1
BEL,EWR,2020-03-12,1
BEL,JFK,2020-03-30,1
CA,ALB,2020-03-13,2
CA,ALB,2020-03-19,1
CA,BDL,2020-03-02,1
CA,BDL,2020-03-19,1
CA,BDL,2020-03-28,1
CA,BUF,2020-03-17,1
CA,BUF,2020-03-25,1
CA,EWR,2020-03-03,1
CA,EWR,2020-03-11,2
CA,EWR,2020-03-12,2
CA,EWR,2020-03-13,1
CA,EWR,2020-03-15,7
CA,EWR,2020-03-16,3
CA,EWR,2020-03-17,2
CA,EWR,2020-03-18,1
CA,EWR,2020-03-19,2
CA,EWR,2020-03-20,1
CA,EWR,2020-03-24,4
CA,EWR,2020-03-31,2
CA,JFK,2020-03-05,2
CA,JFK,2020-03-11,2
CA,JFK,2020-03-12,2
CA,JFK,2020-03-13,3
CA,JFK,2020-03-14,5
CA,JFK,2020-03-16,17
CA,JFK,2020-03-21,2
CA,JFK,2020-03-22,7
CA,JFK,2020-03-23,1
CA,JFK,2020-03-26,4
CA,JFK,2020-03-27,7
CA,JFK,2020-03-28,2
CA,LGA,2020-03-13,1
CA,LGA,2020-03-14,1
CA,LGA,2020-03-31,1
CA,ROC,2020-03-17,1
CAN,EWR,2020-03-04,1
CAN,EWR,2020-03-28,1
CAN,LGA,2020-03-06,1
CAN,LGA,2020-03-18,1
CAN,LGA,2020-03-28,1
CHE,EWR,2020-03-07,3
CHE,JFK,2020-03-01,3
CHE,JFK,2020-03-03,2
CHE,JFK,2020-03-12,1
CHE,JFK,2020-03-15,2
CHE,JFK,2020-03-19,1
CHE,JFK,2020-03-20,1
CHE,JFK,2020-03-30,1
CHL,EWR,2020-03-12,1
CO,ALB,2020-03-11,1
CO,ALB,2020-03-16,1
CO,BDL,2020-03-15,1
CO,BDL,2020-03-22,2
CO,BDL,2020-03-26,1
CO,BUF,2020-03-17,2
CO,BUF,2020-03-19,1
CO,EWR,2020-03-03,1
CO,EWR,2020-03-05,1
