source,destination,t,this.sim
CA,BUF,2020-01-20,1
Hubei,BGM,2020-01-22,1
Hubei,EWR,2020-01-18,1
Hubei,EWR,2020-01-20,1
Hubei,JFK,2020-01-18,1
Hubei,JFK,2020-01-22,1
Hubei,JFK,2020-01-23,2
JPN,JFK,2020-01-25,1
Shanghai,JFK,2020-01-20,1
Zhejiang,JFK,2020-01-25,1
AZ,EWR,2020-02-28,1
BEL,EWR,2020-02-25,1
CA,EWR,2020-02-21,1
CA,JFK,2020-02-22,1
CA,JFK,2020-02-28,1
CHE,JFK,2020-02-25,3
CHE,JFK,2020-02-27,1
DEU,EWR,2020-02-25,1
DEU,JFK,2020-02-25,1
DEU,JFK,2020-02-26,1
ESP,JFK,2020-02-19,1
FL,ISP,2020-02-28,1
FL,JFK,2020-02-22,1
FRA,EWR,2020-02-23,1
GA,JFK,2020-02-20,1
GA,LGA,2020-02-28,1
GBR,EWR,2020-02-23,1
GBR,EWR,2020-02-28,1
GBR,JFK,2020-02-28,1
ISL,BUF,2020-02-27,1
ISL,EWR,2020-02-24,1
ISL,EWR,2020-02-25,2
ISL,JFK,2020-02-26,1
ISR,JFK,2020-02-23,1
ITA,EWR,2020-02-26,1
ITA,EWR,2020-02-27,2
ITA,JFK,2020-02-20,2
ITA,JFK,2020-02-21,2
ITA,JFK,2020-02-23,1
ITA,JFK,2020-02-24,2
ITA,JFK,2020-02-26,1
ITA,JFK,2020-02-28,6
KOR,JFK,2020-02-14,1
KOR,JFK,2020-02-17,1
KOR,JFK,2020-02-19,3
KOR,JFK,2020-02-20,3
KOR,JFK,2020-02-21,3
KOR,JFK,2020-02-22,2
MA,EWR,2020-02-26,1
MA,EWR,2020-02-27,1
MEX,LGA,2020-02-21,1
NY,JFK,2020-02-27,1
NY,ROC,2020-02-27,1
NY,ROC,2020-02-28,1
PAN,EWR,2020-02-25,1
RI,FRG,2020-02-21,1
ROU,JFK,2020-02-28,1
TX,LGA,2020-02-26,1
WA,BDL,2020-02-20,1
WA,EWR,2020-02-26,1
WA,JFK,2020-02-22,1
WA,JFK,2020-02-27,1
WA,JFK,2020-02-28,2
AL,BDL,2020-03-19,1
AL,JFK,2020-03-11,1
AR,LGA,2020-03-09,2
AR,LGA,2020-03-21,1
ARE,SYR,2020-03-29,1
ATG,JFK,2020-03-17,1
AUT,JFK,2020-03-08,1
AUT,JFK,2020-03-16,1
AZ,BUF,2020-03-17,1
AZ,EWR,2020-03-10,1
AZ,EWR,2020-03-11,1
AZ,EWR,2020-03-15,1
AZ,EWR,2020-03-16,1
AZ,EWR,2020-03-21,1
AZ,JFK,2020-03-10,1
AZ,JFK,2020-03-13,2
AZ,JFK,2020-03-17,2
AZ,JFK,2020-03-18,1
AZ,JFK,2020-03-20,1
AZ,LGA,2020-03-15,1
AZ,ROC,2020-03-10,1
BEL,JFK,2020-03-01,1
BEL,JFK,2020-03-05,2
BEL,JFK,2020-03-07,1
BEL,JFK,2020-03-11,1
BEL,JFK,2020-03-19,1
BEL,JFK,2020-03-22,1
BEL,JFK,2020-03-28,1
