source,destination,t,this.sim
Beijing,JFK,2020-01-20,1
Hubei,JFK,2020-01-16,1
Hubei,JFK,2020-01-18,1
Hubei,JFK,2020-01-23,4
Shanghai,JFK,2020-01-23,1
ATG,JFK,2020-02-26,1
BEL,JFK,2020-02-26,1
BHR,JFK,2020-02-26,1
CA,EWR,2020-02-18,1
CA,EWR,2020-02-24,1
CA,JFK,2020-02-22,1
CA,JFK,2020-02-26,1
CAN,EWR,2020-02-20,1
CHE,JFK,2020-02-27,1
CO,JFK,2020-02-27,2
CZE,JFK,2020-02-26,1
DEU,EWR,2020-02-27,1
DEU,JFK,2020-02-25,1
DEU,LGA,2020-02-27,1
DNK,EWR,2020-02-28,1
ESP,ROC,2020-02-28,1
FL,BDL,2020-02-21,1
FL,BDL,2020-02-24,1
FL,EWR,2020-02-22,1
FL,EWR,2020-02-24,1
FL,JFK,2020-02-25,1
FRA,EWR,2020-02-25,1
GBR,JFK,2020-02-23,1
IA,BGM,2020-02-28,1
IRQ,ROC,2020-02-24,1
ISL,EWR,2020-02-24,1
ISL,JFK,2020-02-20,1
ITA,EWR,2020-02-19,1
ITA,EWR,2020-02-24,1
ITA,JFK,2020-02-15,1
ITA,JFK,2020-02-23,3
ITA,JFK,2020-02-27,1
ITA,JFK,2020-02-28,1
JPN,JFK,2020-02-26,1
KOR,JFK,2020-02-19,2
KOR,JFK,2020-02-27,1
KOR,LGA,2020-02-24,1
MA,EWR,2020-02-26,2
MA,FRG,2020-02-28,1
MA,LGA,2020-02-27,1
MA,LGA,2020-02-28,1
NY,BDL,2020-02-27,1
SWE,JFK,2020-02-27,1
WA,BDL,2020-02-20,1
WA,EWR,2020-02-23,1
AK,JFK,2020-03-22,1
AL,BUF,2020-03-31,1
AL,EWR,2020-03-09,1
AL,EWR,2020-03-14,1
AL,JFK,2020-03-15,1
AL,LGA,2020-03-09,1
AL,LGA,2020-03-10,1
AL,LGA,2020-03-13,1
ARE,JFK,2020-03-15,1
ARE,JFK,2020-03-25,1
ATG,JFK,2020-03-25,1
ATG,JFK,2020-03-26,1
AUT,EWR,2020-03-12,1
AUT,JFK,2020-03-04,1
