source,destination,t,this.sim
Hubei,BDL,2020-01-15,1
Hubei,EWR,2020-01-15,1
Hubei,JFK,2020-01-15,1
Hubei,JFK,2020-01-16,1
Hubei,SYR,2020-01-21,1
Shanghai,BGM,2020-01-23,1
Shanghai,EWR,2020-01-20,1
WA,EWR,2020-01-20,1
ARE,JFK,2020-02-16,1
CA,BDL,2020-02-24,1
CA,JFK,2020-02-03,1
CHE,JFK,2020-02-24,1
CO,LGA,2020-02-18,1
CZE,JFK,2020-02-22,1
DEU,JFK,2020-02-24,1
DNK,EWR,2020-02-28,1
DOM,JFK,2020-02-18,1
FL,EWR,2020-02-24,1
FRA,EWR,2020-02-25,1
FRA,EWR,2020-02-26,1
FRA,JFK,2020-02-25,1
GA,EWR,2020-02-26,1
GBR,EWR,2020-02-19,1
IL,LGA,2020-02-28,1
ISL,EWR,2020-02-19,1
ISL,EWR,2020-02-21,1
ISL,EWR,2020-02-24,2
ISL,EWR,2020-02-25,1
ISL,EWR,2020-02-26,1
ISL,EWR,2020-02-28,1
ISL,JFK,2020-02-21,1
ISL,JFK,2020-02-22,1
ISL,JFK,2020-02-24,1
ISL,JFK,2020-02-27,2
ISR,JFK,2020-02-23,1
ITA,EWR,2020-02-11,1
ITA,EWR,2020-02-21,1
ITA,EWR,2020-02-23,1
ITA,EWR,2020-02-27,3
ITA,JFK,2020-02-24,1
ITA,JFK,2020-02-25,6
ITA,JFK,2020-02-26,2
ITA,JFK,2020-02-27,2
ITA,ROC,2020-02-25,1
KOR,ALB,2020-02-21,1
KOR,EWR,2020-02-19,2
KOR,JFK,2020-02-09,1
KOR,JFK,2020-02-19,2
KOR,JFK,2020-02-21,1
KOR,JFK,2020-02-22,6
MA,LGA,2020-02-28,1
MA,POU,2020-02-28,1
NC,HPN,2020-02-26,1
NC,LGA,2020-02-23,1
NLD,JFK,2020-02-25,1
NOR,EWR,2020-02-27,1
NY,BUF,2020-02-28,2
NY,FID,2020-02-28,1
NY,JFK,2020-02-28,1
NY,SYR,2020-02-26,1
NY,TEB,2020-02-28,1
SGP,JFK,2020-02-01,1
SWE,JFK,2020-02-24,1
TWN,JFK,2020-02-22,1
TX,EWR,2020-02-26,1
TX,EWR,2020-02-28,1
TX,LGA,2020-02-26,1
WA,EWR,2020-02-19,1
WA,EWR,2020-02-22,1
WA,EWR,2020-02-26,1
