source,destination,t,this.sim
CA,JFK,2020-01-20,1
Henan,JFK,2020-01-21,1
Hubei,BUF,2020-01-21,1
Hubei,EWR,2020-01-18,1
Hubei,EWR,2020-01-23,1
Hubei,JFK,2020-01-20,1
Hubei,JFK,2020-01-21,4
Hubei,JFK,2020-01-22,4
KOR,JFK,2020-01-22,1
AUT,JFK,2020-02-27,1
BEL,JFK,2020-02-26,1
CA,ROC,2020-02-28,1
CHE,EWR,2020-02-21,1
CHE,EWR,2020-02-22,1
CHE,JFK,2020-02-21,1
CHE,JFK,2020-02-25,4
CHE,JFK,2020-02-28,1
CO,SYR,2020-02-21,1
EGY,JFK,2020-02-25,1
ESP,JFK,2020-02-26,1
ESP,JFK,2020-02-28,1
FL,BDL,2020-02-26,1
FL,ISP,2020-02-28,1
FL,JFK,2020-02-26,1
FL,PBG,2020-02-23,1
FL,ROC,2020-02-23,1
FRA,EWR,2020-02-23,1
GBR,EWR,2020-02-27,1
IRL,EWR,2020-02-25,1
ISL,EWR,2020-02-25,1
ISL,JFK,2020-02-17,1
ISL,JFK,2020-02-21,1
ISL,JFK,2020-02-22,1
ISL,JFK,2020-02-27,1
ISR,JFK,2020-02-22,1
ITA,EWR,2020-02-27,1
ITA,JFK,2020-02-22,6
ITA,JFK,2020-02-27,2
ITA,JFK,2020-02-28,4
KOR,JFK,2020-02-07,1
KOR,JFK,2020-02-08,1
KOR,JFK,2020-02-10,1
KOR,JFK,2020-02-11,1
KOR,JFK,2020-02-13,1
KOR,JFK,2020-02-16,4
KOR,JFK,2020-02-20,2
KOR,JFK,2020-02-22,1
KOR,JFK,2020-02-24,1
KOR,JFK,2020-02-25,3
KOR,JFK,2020-02-27,1
NH,TEB,2020-02-21,1
NY,TEB,2020-02-27,1
SWE,JFK,2020-02-27,1
WA,ALB,2020-02-24,1
WA,JFK,2020-02-28,1
AK,JFK,2020-03-20,1
AL,BDL,2020-03-19,1
AL,LGA,2020-03-11,1
AL,LGA,2020-03-16,1
AL,LGA,2020-03-18,2
AL,LGA,2020-03-20,1
AL,SYR,2020-03-18,1
AR,EWR,2020-03-10,1
AR,LGA,2020-03-12,1
AR,LGA,2020-03-25,1
ARE,JFK,2020-03-07,1
ARE,JFK,2020-03-14,1
ARE,JFK,2020-03-26,1
ATG,JFK,2020-03-03,1
AUT,EWR,2020-03-21,1
AZ,ALB,2020-03-20,1
AZ,ALB,2020-03-25,1
AZ,BUF,2020-03-19,1
AZ,BUF,2020-03-30,1
AZ,EWR,2020-03-05,1
AZ,EWR,2020-03-08,1
AZ,EWR,2020-03-16,1
AZ,EWR,2020-03-18,1
AZ,EWR,2020-03-22,1
AZ,EWR,2020-03-23,2
AZ,EWR,2020-03-26,1
AZ,JFK,2020-03-20,1
AZ,JFK,2020-03-22,2
AZ,LGA,2020-03-14,1
AZ,LGA,2020-03-30,1
AZ,ROC,2020-03-12,1
