source,destination,t,this.sim
Beijing,JFK,2020-01-21,1
Guangdong,JFK,2020-01-18,1
Hubei,EWR,2020-01-19,1
Hubei,JFK,2020-01-22,4
Hubei,JFK,2020-01-23,3
Hubei,ROC,2020-01-23,1
Shanghai,EWR,2020-01-21,1
Shanghai,JFK,2020-01-21,1
Shanghai,JFK,2020-01-23,1
CA,BDL,2020-02-25,1
CA,EWR,2020-02-23,1
CA,JFK,2020-02-24,1
CHE,EWR,2020-02-23,2
CHE,EWR,2020-02-24,2
CHE,EWR,2020-02-27,1
CHE,EWR,2020-02-28,2
CHE,ROC,2020-02-24,1
DEU,EWR,2020-02-23,1
DEU,EWR,2020-02-24,1
DEU,JFK,2020-02-25,1
DEU,JFK,2020-02-26,1
FL,JFK,2020-02-28,1
FL,TTN,2020-02-24,1
FRA,JFK,2020-02-28,4
GBR,JFK,2020-02-21,1
GBR,JFK,2020-02-23,1
IL,BUF,2020-02-17,1
IL,LGA,2020-02-28,1
ISL,EWR,2020-02-23,1
ITA,EWR,2020-02-18,1
ITA,EWR,2020-02-22,1
ITA,EWR,2020-02-23,1
ITA,EWR,2020-02-24,1
ITA,EWR,2020-02-27,1
ITA,JFK,2020-02-16,1
ITA,JFK,2020-02-23,15
ITA,JFK,2020-02-25,1
ITA,JFK,2020-02-26,2
ITA,JFK,2020-02-27,1
JPN,EWR,2020-02-26,1
JPN,JFK,2020-02-16,2
KOR,JFK,2020-02-12,1
KOR,JFK,2020-02-13,1
KOR,JFK,2020-02-21,2
MA,BUF,2020-02-28,1
MA,SYR,2020-02-28,1
NJ,ROC,2020-02-28,1
NOR,JFK,2020-02-24,1
NY,BUF,2020-02-24,1
QAT,JFK,2020-02-27,1
SWE,EWR,2020-02-24,1
SWE,JFK,2020-02-27,1
TN,LGA,2020-02-28,1
AK,LGA,2020-03-17,1
AL,BDL,2020-03-17,1
AL,EWR,2020-03-19,1
AL,ITH,2020-03-21,1
AL,LGA,2020-03-15,2
AL,SYR,2020-03-06,1
AR,LGA,2020-03-20,1
AR,SYR,2020-03-09,1
AR,SYR,2020-03-18,1
AUS,EWR,2020-03-12,1
AUT,JFK,2020-03-12,1
AUT,JFK,2020-03-23,1
AZ,ALB,2020-03-23,1
AZ,BDL,2020-03-04,1
AZ,BDL,2020-03-14,1
AZ,BDL,2020-03-21,1
AZ,BUF,2020-03-14,1
AZ,EWR,2020-03-12,1
AZ,EWR,2020-03-16,2
AZ,EWR,2020-03-20,2
AZ,EWR,2020-03-24,1
AZ,EWR,2020-03-29,1
AZ,JFK,2020-03-14,4
AZ,JFK,2020-03-18,1
AZ,JFK,2020-03-19,1
AZ,JFK,2020-03-27,1
AZ,JFK,2020-03-30,1
AZ,LGA,2020-03-31,1
AZ,ROC,2020-03-17,1
BEL,EWR,2020-03-07,1
BEL,JFK,2020-03-25,1
BEL,JFK,2020-03-28,1
BEL,LGA,2020-03-31,1
CA,ALB,2020-03-03,1
CA,ALB,2020-03-05,1
CA,ALB,2020-03-07,1
CA,ALB,2020-03-23,1
CA,BDL,2020-03-17,1
CA,BDL,2020-03-22,2
CA,BDL,2020-03-24,1
CA,BUF,2020-03-13,2
CA,BUF,2020-03-14,1
CA,BUF,2020-03-17,1
CA,BUF,2020-03-27,1
CA,BUF,2020-03-31,1
CA,EWR,2020-03-02,1
CA,EWR,2020-03-06,1
CA,EWR,2020-03-12,3
CA,EWR,2020-03-16,13
CA,EWR,2020-03-19,1
CA,EWR,2020-03-22,4
CA,EWR,2020-03-24,2
CA,EWR,2020-03-25,4
CA,EWR,2020-03-26,6
CA,EWR,2020-03-29,2
CA,EWR,2020-03-30,3
CA,JFK,2020-03-02,1
CA,JFK,2020-03-05,1
CA,JFK,2020-03-08,5
CA,JFK,2020-03-10,6
CA,JFK,2020-03-11,6
CA,JFK,2020-03-14,3
CA,JFK,2020-03-15,10
CA,JFK,2020-03-16,10
CA,JFK,2020-03-17,28
CA,JFK,2020-03-18,23
CA,JFK,2020-03-19,1
CA,JFK,2020-03-21,7
CA,JFK,2020-03-22,15
CA,JFK,2020-03-23,3
CA,JFK,2020-03-24,1
CA,JFK,2020-03-27,1
CA,JFK,2020-03-29,3
CA,JFK,2020-03-31,1
CA,LGA,2020-03-06,1
CA,LGA,2020-03-08,1
CA,LGA,2020-03-09,1
CA,LGA,2020-03-13,1
CA,LGA,2020-03-19,2
CA,LGA,2020-03-21,3
CA,PBG,2020-03-12,1
CA,SYR,2020-03-12,2
CAN,EWR,2020-03-30,1
CAN,JFK,2020-03-14,1
CAN,JFK,2020-03-31,1
CAN,LGA,2020-03-07,1
CAN,LGA,2020-03-11,1
CAN,LGA,2020-03-19,1
CAN,LGA,2020-03-22,2
CAN,LGA,2020-03-30,1
CHE,EWR,2020-03-05,1
CHE,EWR,2020-03-08,1
CHE,EWR,2020-03-15,1
CHE,EWR,2020-03-16,1
CHE,EWR,2020-03-24,1
CHE,EWR,2020-03-27,1
CHE,JFK,2020-03-01,1
CHE,JFK,2020-03-04,1
CHE,JFK,2020-03-05,1
CHE,JFK,2020-03-11,3
CHE,JFK,2020-03-12,1
CHE,JFK,2020-03-21,1
CHE,JFK,2020-03-24,1
CHE,JFK,2020-03-28,1
CHE,JFK,2020-03-29,1
CHE,JFK,2020-03-31,1
CHL,JFK,2020-03-20,1
CO,ALB,2020-03-08,1
CO,ALB,2020-03-10,1
CO,ALB,2020-03-18,1
CO,BDL,2020-03-09,1
CO,BDL,2020-03-25,2
CO,BUF,2020-03-18,1
CO,EWR,2020-03-09,1
CO,EWR,2020-03-11,2
CO,EWR,2020-03-14,2
CO,EWR,2020-03-18,3
CO,EWR,2020-03-23,1
CO,EWR,2020-03-28,3
CO,JFK,2020-03-08,1
CO,JFK,2020-03-09,1
CO,JFK,2020-03-11,1
CO,JFK,2020-03-12,1
CO,JFK,2020-03-13,1
CO,JFK,2020-03-16,2
CO,JFK,2020-03-23,3
CO,LGA,2020-03-02,1
CO,LGA,2020-03-06,4
CO,LGA,2020-03-07,1
CO,LGA,2020-03-09,2
CO,LGA,2020-03-11,1
CO,LGA,2020-03-12,1
CO,LGA,2020-03-13,2
CO,LGA,2020-03-14,1
CO,LGA,2020-03-15,5
CO,LGA,2020-03-17,3
CO,LGA,2020-03-18,1
CO,LGA,2020-03-23,2
CO,LGA,2020-03-24,4
CO,LGA,2020-03-28,1
CO,LGA,2020-03-31,1
CO,ROC,2020-03-14,1
CO,ROC,2020-03-20,1
CO,ROC,2020-03-24,1
CT,ACY,2020-03-23,1
CT,ACY,2020-03-26,1
CT,BUF,2020-03-21,1
CT,FOK,2020-03-29,1
CT,FRG,2020-03-06,1
CT,HTO,2020-03-02,1
CT,HTO,2020-03-15,1
CT,HTO,2020-03-17,1
CT,HTO,2020-03-28,1
CT,HTO,2020-03-31,1
CT,PCT,2020-03-15,1
CT,PCT,2020-03-24,1
CT,TEB,2020-03-19,3
CT,TTN,2020-03-11,1
CT,WSH,2020-03-21,1
DC,ALB,2020-03-11,1
DC,ALB,2020-03-17,1
DC,ALB,2020-03-21,2
DC,ALB,2020-03-22,1
DC,BDL,2020-03-05,1
DC,BDL,2020-03-11,4
DC,BDL,2020-03-15,2
DC,BDL,2020-03-16,4
DC,BDL,2020-03-21,2
DC,BDL,2020-03-22,1
DC,BDL,2020-03-23,4
DC,BDL,2020-03-25,1
DC,BDL,2020-03-29,1
DC,BUF,2020-03-06,1
DC,BUF,2020-03-21,1
DC,BUF,2020-03-23,1
DC,EWR,2020-03-12,2
DC,EWR,2020-03-14,1
DC,EWR,2020-03-17,3
DC,EWR,2020-03-20,1
DC,EWR,2020-03-24,3
DC,EWR,2020-03-30,2
DC,FID,2020-03-09,1
DC,FID,2020-03-10,1
DC,FID,2020-03-15,1
DC,HPN,2020-03-16,4
DC,HPN,2020-03-24,2
DC,JFK,2020-03-08,1
DC,JFK,2020-03-13,1
DC,JFK,2020-03-15,1
DC,JFK,2020-03-16,2
DC,JFK,2020-03-17,1
DC,JFK,2020-03-21,1
DC,JFK,2020-03-22,7
DC,JFK,2020-03-26,1
DC,JFK,2020-03-30,2
DC,LGA,2020-03-06,2
DC,LGA,2020-03-10,3
DC,LGA,2020-03-12,4
DC,LGA,2020-03-13,1
DC,LGA,2020-03-14,6
DC,LGA,2020-03-15,1
DC,LGA,2020-03-17,3
DC,LGA,2020-03-20,11
DC,LGA,2020-03-26,5
DC,LGA,2020-03-27,2
DC,LGA,2020-03-30,1
DC,ROC,2020-03-11,2
DC,ROC,2020-03-13,2
DC,SYR,2020-03-05,1
DC,SYR,2020-03-08,1
DC,SYR,2020-03-10,2
DC,SYR,2020-03-20,1
DC,SYR,2020-03-28,1
DC,TEB,2020-03-27,1
DE,ELM,2020-03-04,1
DE,EWR,2020-03-23,1
DE,HPN,2020-03-14,1
DEU,BUF,2020-03-14,1
DEU,EWR,2020-03-11,1
DEU,EWR,2020-03-16,2
DEU,EWR,2020-03-18,1
DEU,EWR,2020-03-20,1
DEU,EWR,2020-03-22,1
DEU,JFK,2020-03-01,1
DEU,JFK,2020-03-11,1
DEU,JFK,2020-03-12,1
DEU,JFK,2020-03-16,1
DEU,JFK,2020-03-23,1
DEU,JFK,2020-03-24,1
DNK,BUF,2020-03-08,1
DNK,JFK,2020-03-25,1
DOM,EWR,2020-03-28,1
DOM,JFK,2020-03-12,1
DOM,JFK,2020-03-20,1
DOM,JFK,2020-03-26,1
ECU,JFK,2020-03-20,1
ESP,EWR,2020-03-06,1
ESP,EWR,2020-03-08,3
ESP,EWR,2020-03-14,2
ESP,EWR,2020-03-25,1
ESP,EWR,2020-03-26,1
ESP,JFK,2020-03-03,2
ESP,JFK,2020-03-07,1
ESP,JFK,2020-03-09,1
ESP,JFK,2020-03-12,2
ESP,JFK,2020-03-15,4
ESP,JFK,2020-03-16,1
FIN,JFK,2020-03-16,1
FIN,JFK,2020-03-18,1
FL,ACY,2020-03-07,1
FL,ACY,2020-03-08,1
FL,ACY,2020-03-12,2
FL,ACY,2020-03-15,4
FL,ACY,2020-03-18,1
FL,ACY,2020-03-24,3
FL,ACY,2020-03-25,1
FL,ACY,2020-03-30,1
FL,ALB,2020-03-02,1
FL,ALB,2020-03-11,1
FL,ALB,2020-03-12,7
FL,ALB,2020-03-13,1
FL,ALB,2020-03-14,1
FL,ALB,2020-03-15,1
FL,ALB,2020-03-16,1
FL,ALB,2020-03-18,4
FL,ALB,2020-03-21,4
FL,ALB,2020-03-22,1
FL,ALB,2020-03-23,2
FL,ALB,2020-03-27,1
FL,ALB,2020-03-28,4
FL,ALB,2020-03-29,1
FL,BDL,2020-03-02,1
FL,BDL,2020-03-09,1
FL,BDL,2020-03-11,11
FL,BDL,2020-03-14,1
FL,BDL,2020-03-15,1
FL,BDL,2020-03-17,2
FL,BDL,2020-03-20,8
FL,BDL,2020-03-21,5
FL,BDL,2020-03-22,7
FL,BDL,2020-03-23,3
FL,BDL,2020-03-24,15
FL,BDL,2020-03-25,1
FL,BDL,2020-03-26,2
FL,BDL,2020-03-27,1
FL,BUF,2020-03-05,2
FL,BUF,2020-03-08,2
FL,BUF,2020-03-09,2
FL,BUF,2020-03-15,6
FL,BUF,2020-03-17,4
FL,BUF,2020-03-18,10
FL,BUF,2020-03-19,2
FL,BUF,2020-03-23,1
FL,BUF,2020-03-25,9
FL,BUF,2020-03-26,2
FL,BUF,2020-03-27,1
FL,ELM,2020-03-07,1
FL,ELM,2020-03-12,1
FL,ELM,2020-03-27,1
FL,EWR,2020-03-03,1
FL,EWR,2020-03-06,1
FL,EWR,2020-03-07,7
FL,EWR,2020-03-08,9
FL,EWR,2020-03-10,7
FL,EWR,2020-03-11,13
FL,EWR,2020-03-12,8
FL,EWR,2020-03-13,3
FL,EWR,2020-03-14,4
FL,EWR,2020-03-16,1
FL,EWR,2020-03-17,13
FL,EWR,2020-03-18,2
FL,EWR,2020-03-19,5
FL,EWR,2020-03-20,7
FL,EWR,2020-03-21,20
FL,EWR,2020-03-22,6
FL,EWR,2020-03-23,7
FL,EWR,2020-03-24,16
FL,EWR,2020-03-25,1
FL,EWR,2020-03-26,7
FL,EWR,2020-03-28,2
FL,EWR,2020-03-29,1
FL,HPN,2020-03-06,1
FL,HPN,2020-03-10,2
FL,HPN,2020-03-11,1
FL,HPN,2020-03-12,4
FL,HPN,2020-03-15,8
FL,HPN,2020-03-17,5
FL,HPN,2020-03-21,3
FL,HPN,2020-03-25,1
FL,HPN,2020-03-31,1
FL,HVN,2020-03-21,1
FL,IAG,2020-03-09,2
FL,IAG,2020-03-10,1
FL,IAG,2020-03-12,1
FL,IAG,2020-03-26,1
FL,ISP,2020-03-08,1
FL,ISP,2020-03-09,1
FL,ISP,2020-03-10,6
FL,ISP,2020-03-11,2
FL,ISP,2020-03-15,1
FL,ISP,2020-03-17,3
FL,ISP,2020-03-18,5
FL,ISP,2020-03-21,5
FL,ITH,2020-03-26,1
FL,JFK,2020-03-05,1
FL,JFK,2020-03-07,3
FL,JFK,2020-03-09,11
FL,JFK,2020-03-10,5
FL,JFK,2020-03-11,19
FL,JFK,2020-03-14,3
FL,JFK,2020-03-15,28
FL,JFK,2020-03-18,24
FL,JFK,2020-03-21,3
FL,JFK,2020-03-22,23
FL,JFK,2020-03-24,1
FL,JFK,2020-03-25,2
FL,JFK,2020-03-26,1
FL,JFK,2020-03-30,1
FL,JFK,2020-03-31,3
FL,LGA,2020-03-01,1
FL,LGA,2020-03-06,4
FL,LGA,2020-03-07,1
FL,LGA,2020-03-08,4
FL,LGA,2020-03-09,7
FL,LGA,2020-03-11,5
FL,LGA,2020-03-13,1
FL,LGA,2020-03-14,1
FL,LGA,2020-03-15,18
FL,LGA,2020-03-16,21
FL,LGA,2020-03-17,14
FL,LGA,2020-03-18,1
FL,LGA,2020-03-22,15
FL,LGA,2020-03-24,5
FL,LGA,2020-03-25,6
FL,LGA,2020-03-26,2
FL,LGA,2020-03-28,5
FL,LGA,2020-03-31,6
FL,OGS,2020-03-08,1
FL,PBG,2020-03-16,2
FL,PBG,2020-03-17,8
FL,PBG,2020-03-19,1
FL,PBG,2020-03-21,2
FL,PBG,2020-03-26,1
FL,ROC,2020-03-09,1
FL,ROC,2020-03-12,7
FL,ROC,2020-03-14,1
FL,ROC,2020-03-20,3
FL,ROC,2020-03-23,2
FL,ROC,2020-03-31,1
FL,SWF,2020-03-22,1
FL,SWF,2020-03-23,1
FL,SWF,2020-03-30,1
FL,SYR,2020-03-10,1
FL,SYR,2020-03-12,1
FL,SYR,2020-03-14,3
FL,SYR,2020-03-16,3
FL,SYR,2020-03-18,1
FL,SYR,2020-03-21,7
FL,SYR,2020-03-30,4
FL,TTN,2020-03-14,4
FL,TTN,2020-03-20,1
FL,TTN,2020-03-25,2
FL,TTN,2020-03-30,1
FL,TTN,2020-03-31,1
FRA,JFK,2020-03-08,1
FRA,JFK,2020-03-14,1
FRA,JFK,2020-03-18,2
FRA,JFK,2020-03-24,1
FRA,ROC,2020-03-05,1
GA,ALB,2020-03-15,1
GA,BDL,2020-03-06,1
GA,BDL,2020-03-13,1
GA,BDL,2020-03-16,1
GA,BDL,2020-03-19,1
GA,BDL,2020-03-20,1
GA,BDL,2020-03-21,3
GA,BUF,2020-03-08,1
GA,BUF,2020-03-09,1
GA,BUF,2020-03-20,1
GA,BUF,2020-03-21,1
GA,BUF,2020-03-27,1
GA,ELM,2020-03-28,1
GA,EWR,2020-03-01,1
GA,EWR,2020-03-09,2
GA,EWR,2020-03-12,1
GA,EWR,2020-03-17,3
