source,destination,t,this.sim
Hubei,JFK,2020-01-20,4
Hubei,JFK,2020-01-21,1
Hubei,JFK,2020-01-22,6
Hubei,JFK,2020-01-23,2
Shanghai,LGA,2020-01-20,1
AZ,JFK,2020-02-25,1
CA,EWR,2020-02-28,3
CA,JFK,2020-02-22,1
CA,JFK,2020-02-25,1
CHE,EWR,2020-02-14,1
DEU,EWR,2020-02-23,1
DEU,JFK,2020-02-26,1
DNK,EWR,2020-02-27,1
DOM,JFK,2020-02-27,2
FL,BDL,2020-02-26,1
FRA,EWR,2020-02-16,1
GA,HPN,2020-02-28,1
GBR,JFK,2020-02-28,1
HI,JFK,2020-02-23,1
ISL,EWR,2020-02-20,1
ISL,JFK,2020-02-21,1
ITA,EWR,2020-02-24,1
ITA,JFK,2020-02-16,2
ITA,JFK,2020-02-17,1
ITA,JFK,2020-02-21,1
ITA,JFK,2020-02-22,2
ITA,JFK,2020-02-26,5
ITA,JFK,2020-02-27,4
KOR,ALB,2020-02-22,1
KOR,ELM,2020-02-24,1
KOR,EWR,2020-02-18,1
KOR,JFK,2020-02-15,1
KOR,JFK,2020-02-17,3
KOR,JFK,2020-02-18,1
KOR,JFK,2020-02-20,1
KOR,JFK,2020-02-22,6
KOR,JFK,2020-02-24,4
LA,LGA,2020-02-28,1
MA,JFK,2020-02-24,1
MA,WWD,2020-02-25,1
NH,SLK,2020-02-22,1
NLD,JFK,2020-02-25,1
NLD,JFK,2020-02-26,1
NV,BUF,2020-02-26,1
NV,JFK,2020-02-23,1
NY,FID,2020-02-27,1
NY,HTO,2020-02-27,1
NY,TEB,2020-02-27,1
NY,TEB,2020-02-28,1
RI,ISP,2020-02-22,1
SGP,JFK,2020-02-27,1
TX,EWR,2020-02-26,1
VA,SYR,2020-02-25,1
WA,JFK,2020-02-20,1
WA,SYR,2020-02-25,1
AK,JFK,2020-03-10,1
AL,BUF,2020-03-11,1
AL,LGA,2020-03-12,1
AR,BUF,2020-03-14,1
AR,EWR,2020-03-14,1
AR,LGA,2020-03-13,1
AR,LGA,2020-03-21,1
ATG,JFK,2020-03-16,1
AUS,JFK,2020-03-08,1
AUT,JFK,2020-03-20,1
AZ,ALB,2020-03-29,1
AZ,BDL,2020-03-17,1
AZ,BUF,2020-03-21,1
AZ,EWR,2020-03-12,1
AZ,EWR,2020-03-16,4
AZ,EWR,2020-03-17,2
AZ,EWR,2020-03-25,1
AZ,EWR,2020-03-27,1
AZ,HPN,2020-03-24,1
AZ,JFK,2020-03-10,3
AZ,JFK,2020-03-11,1
AZ,JFK,2020-03-13,2
AZ,JFK,2020-03-14,1
AZ,JFK,2020-03-17,1
AZ,JFK,2020-03-18,2
AZ,JFK,2020-03-21,1
AZ,JFK,2020-03-24,1
AZ,JFK,2020-03-25,3
AZ,LGA,2020-03-12,1
AZ,LGA,2020-03-15,1
AZ,LGA,2020-03-22,1
AZ,ROC,2020-03-17,1
AZ,SYR,2020-03-28,1
BEL,EWR,2020-03-28,1
BEL,JFK,2020-03-10,1
BEL,ROC,2020-03-08,1
BHS,JFK,2020-03-14,1
BRB,JFK,2020-03-26,1
CA,ALB,2020-03-16,1
CA,ALB,2020-03-23,1
CA,BDL,2020-03-13,3
CA,BDL,2020-03-15,1
CA,BDL,2020-03-18,1
CA,BDL,2020-03-22,6
CA,BDL,2020-03-24,1
CA,BUF,2020-03-17,1
CA,BUF,2020-03-20,1
CA,BUF,2020-03-22,1
CA,BUF,2020-03-24,1
CA,ELM,2020-03-06,2
CA,EWR,2020-03-01,2
CA,EWR,2020-03-02,1
CA,EWR,2020-03-08,3
CA,EWR,2020-03-09,8
CA,EWR,2020-03-10,1
CA,EWR,2020-03-11,2
CA,EWR,2020-03-12,8
CA,EWR,2020-03-13,12
CA,EWR,2020-03-19,1
CA,EWR,2020-03-21,6
CA,EWR,2020-03-22,2
CA,EWR,2020-03-27,1
CA,EWR,2020-03-28,1
CA,EWR,2020-03-30,2
CA,ISP,2020-03-03,1
CA,JFK,2020-03-08,2
CA,JFK,2020-03-14,5
CA,JFK,2020-03-16,70
CA,JFK,2020-03-17,2
CA,JFK,2020-03-18,31
CA,JFK,2020-03-19,27
CA,JFK,2020-03-22,2
CA,JFK,2020-03-23,3
CA,JFK,2020-03-24,1
CA,JFK,2020-03-25,2
CA,JFK,2020-03-26,1
CA,JFK,2020-03-28,1
CA,JFK,2020-03-29,1
CA,JFK,2020-03-30,6
CA,LGA,2020-03-05,1
CA,LGA,2020-03-10,1
CA,LGA,2020-03-15,1
CA,LGA,2020-03-23,1
CA,LGA,2020-03-26,1
CA,ROC,2020-03-20,2
CAN,BDL,2020-03-04,2
CAN,EWR,2020-03-14,2
CAN,EWR,2020-03-17,3
CAN,EWR,2020-03-25,1
CAN,JFK,2020-03-15,1
CAN,JFK,2020-03-19,1
CAN,JFK,2020-03-25,1
CAN,JFK,2020-03-27,1
CAN,LGA,2020-03-15,1
CAN,LGA,2020-03-24,1
CAN,LGA,2020-03-30,1
CHE,EWR,2020-03-01,12
CHE,EWR,2020-03-06,1
CHE,EWR,2020-03-08,1
CHE,EWR,2020-03-09,1
CHE,EWR,2020-03-16,1
CHE,JFK,2020-03-01,1
CHE,JFK,2020-03-03,1
CHE,JFK,2020-03-06,2
CHE,JFK,2020-03-08,1
CHE,JFK,2020-03-15,1
CHE,JFK,2020-03-16,1
CHE,JFK,2020-03-19,1
CHE,JFK,2020-03-24,1
CHE,SYR,2020-03-01,1
CHE,SYR,2020-03-02,1
CO,ALB,2020-03-09,1
CO,ALB,2020-03-10,1
CO,ALB,2020-03-16,2
CO,ALB,2020-03-24,1
CO,BDL,2020-03-11,1
CO,BDL,2020-03-15,3
CO,BDL,2020-03-20,1
CO,BDL,2020-03-24,1
CO,BUF,2020-03-17,1
CO,EWR,2020-03-01,1
CO,EWR,2020-03-02,1
CO,EWR,2020-03-07,1
CO,EWR,2020-03-08,1
CO,EWR,2020-03-09,5
CO,EWR,2020-03-10,1
CO,EWR,2020-03-15,4
CO,EWR,2020-03-17,2
CO,EWR,2020-03-19,1
CO,EWR,2020-03-23,2
CO,EWR,2020-03-30,2
CO,JFK,2020-03-09,4
CO,JFK,2020-03-12,13
CO,JFK,2020-03-13,1
CO,JFK,2020-03-19,1
CO,JFK,2020-03-21,1
CO,JFK,2020-03-24,1
CO,LGA,2020-03-05,2
CO,LGA,2020-03-08,1
CO,LGA,2020-03-11,1
CO,LGA,2020-03-13,3
CO,LGA,2020-03-16,5
CO,LGA,2020-03-17,8
CO,LGA,2020-03-20,5
CO,LGA,2020-03-26,4
CO,ROC,2020-03-06,1
CO,ROC,2020-03-19,1
CO,SYR,2020-03-15,1
CT,ACY,2020-03-15,2
CT,BGM,2020-03-21,1
CT,BUF,2020-03-22,1
CT,FOK,2020-03-23,1
CT,FRG,2020-03-21,1
CT,FRG,2020-03-29,1
CT,HTO,2020-03-13,1
CT,HTO,2020-03-15,1
CT,HTO,2020-03-16,2
CT,HTO,2020-03-21,1
CT,PCT,2020-03-09,1
CT,PCT,2020-03-22,1
