source,destination,t,this.sim
CA,JFK,2020-01-24,1
Hubei,EWR,2020-01-21,2
Hubei,JFK,2020-01-23,1
IL,ISP,2020-01-20,1
SGP,JFK,2020-01-20,1
Shanghai,JFK,2020-01-23,1
CA,EWR,2020-02-27,1
CA,HPN,2020-02-28,1
CHE,EWR,2020-02-26,1
DEU,EWR,2020-02-21,1
DEU,EWR,2020-02-25,1
DEU,JFK,2020-02-15,1
DEU,SYR,2020-02-26,1
ESP,EWR,2020-02-16,1
ESP,SYR,2020-02-22,1
FL,JFK,2020-02-23,1
FL,JFK,2020-02-27,1
FRA,EWR,2020-02-27,1
FRA,EWR,2020-02-28,2
FRA,JFK,2020-02-26,1
GA,EWR,2020-02-18,1
GBR,EWR,2020-02-28,1
GBR,JFK,2020-02-24,1
GBR,JFK,2020-02-27,1
GRC,JFK,2020-02-20,1
IRN,JFK,2020-02-25,1
ISL,EWR,2020-02-26,1
ISL,EWR,2020-02-27,2
ISL,JFK,2020-02-22,2
ISL,JFK,2020-02-23,1
ISR,JFK,2020-02-23,1
ITA,JFK,2020-02-24,1
ITA,JFK,2020-02-27,1
ITA,JFK,2020-02-28,21
JPN,JFK,2020-02-25,1
KOR,BDL,2020-02-19,1
KOR,EWR,2020-02-25,1
KOR,JFK,2020-02-16,2
KOR,JFK,2020-02-18,1
KOR,JFK,2020-02-21,5
KOR,JFK,2020-02-23,1
KOR,JFK,2020-02-25,8
LUX,JFK,2020-02-27,1
MA,BLM,2020-02-23,1
MA,EWR,2020-02-28,1
MA,LGA,2020-02-27,1
MD,ISP,2020-02-27,1
NOR,JFK,2020-02-28,1
NY,BUF,2020-02-24,1
NY,HTO,2020-02-23,1
NY,ISP,2020-02-26,1
SGP,JFK,2020-02-06,1
SWE,JFK,2020-02-21,1
WA,EWR,2020-02-22,1
WA,JFK,2020-02-20,1
WA,JFK,2020-02-28,1
WA,ROC,2020-02-19,1
AK,JFK,2020-03-20,1
AL,LGA,2020-03-16,1
AL,LGA,2020-03-20,1
AR,EWR,2020-03-11,1
AR,EWR,2020-03-25,1
AR,LGA,2020-03-18,1
AR,LGA,2020-03-26,1
AUS,EWR,2020-03-06,1
AUS,JFK,2020-03-23,1
AUT,EWR,2020-03-16,1
AUT,JFK,2020-03-13,1
AZ,BUF,2020-03-14,1
AZ,BUF,2020-03-21,1
AZ,BUF,2020-03-30,1
AZ,EWR,2020-03-19,1
AZ,JFK,2020-03-12,2
AZ,JFK,2020-03-16,1
AZ,JFK,2020-03-19,1
AZ,LGA,2020-03-27,1
AZ,ROC,2020-03-17,2
AZ,SYR,2020-03-31,1
BEL,EWR,2020-03-11,1
BEL,EWR,2020-03-19,1
BEL,EWR,2020-03-31,1
BEL,JFK,2020-03-31,1
BHS,EWR,2020-03-25,1
BHS,JFK,2020-03-21,1
BRA,EWR,2020-03-30,1
BRA,JFK,2020-03-12,1
BRB,JFK,2020-03-21,1
BRB,JFK,2020-03-24,1
CA,ALB,2020-03-11,1
CA,ALB,2020-03-14,1
CA,ALB,2020-03-19,1
CA,BDL,2020-03-16,3
CA,BDL,2020-03-18,1
CA,BUF,2020-03-12,1
CA,BUF,2020-03-13,1
CA,BUF,2020-03-14,1
CA,BUF,2020-03-19,3
CA,BUF,2020-03-23,1
