source,destination,t,this.sim
AZ,JFK,2020-01-20,1
Beijing,EWR,2020-01-20,1
Guangdong,JFK,2020-01-21,1
Hubei,JFK,2020-01-18,1
Shanghai,JFK,2020-01-30,1
BEL,JFK,2020-02-27,1
CA,BUF,2020-02-23,1
CA,EWR,2020-02-23,1
CA,JFK,2020-02-27,1
CA,LGA,2020-02-21,1
CHE,JFK,2020-02-24,2
CO,LGA,2020-02-27,1
DEU,EWR,2020-02-20,1
DEU,JFK,2020-02-24,1
DEU,JFK,2020-02-25,1
FL,JFK,2020-02-21,1
FRA,EWR,2020-02-26,1
FRA,JFK,2020-02-18,1
FRA,JFK,2020-02-26,2
FRA,JFK,2020-02-27,1
IL,LGA,2020-02-28,1
ISL,EWR,2020-02-23,1
ISL,EWR,2020-02-24,1
ISL,JFK,2020-02-25,1
ISL,ROC,2020-02-28,1
ISR,EWR,2020-02-24,1
ITA,EWR,2020-02-18,1
ITA,EWR,2020-02-21,1
ITA,EWR,2020-02-24,1
ITA,EWR,2020-02-27,1
ITA,JFK,2020-02-15,2
ITA,JFK,2020-02-24,6
KOR,JFK,2020-02-12,2
KOR,JFK,2020-02-13,1
KOR,JFK,2020-02-14,1
KOR,JFK,2020-02-21,1
MA,EWR,2020-02-28,1
MA,TEB,2020-02-27,1
NJ,SYR,2020-02-27,1
NOR,EWR,2020-02-23,1
NOR,EWR,2020-02-28,1
NY,FRG,2020-02-27,1
NY,JFK,2020-02-28,1
PA,LGA,2020-02-28,1
AL,JFK,2020-03-13,1
AL,JFK,2020-03-15,1
AL,LGA,2020-03-13,1
AL,SYR,2020-03-16,1
AR,EWR,2020-03-22,1
ARE,JFK,2020-03-19,1
ARE,JFK,2020-03-30,1
AUT,JFK,2020-03-12,1
AZ,ALB,2020-03-01,1
AZ,BDL,2020-03-17,1
AZ,EWR,2020-03-13,1
AZ,EWR,2020-03-15,4
AZ,EWR,2020-03-27,2
AZ,JFK,2020-03-11,1
AZ,JFK,2020-03-15,1
AZ,JFK,2020-03-29,1
BEL,EWR,2020-03-07,1
BEL,EWR,2020-03-12,1
BEL,JFK,2020-03-20,1
BRA,JFK,2020-03-13,1
BRB,JFK,2020-03-15,1
CA,ALB,2020-03-03,1
CA,ALB,2020-03-17,1
CA,ALB,2020-03-20,1
CA,BDL,2020-03-15,1
CA,BDL,2020-03-17,1
CA,BDL,2020-03-28,1
CA,BUF,2020-03-07,1
CA,BUF,2020-03-13,1
CA,BUF,2020-03-15,2
CA,ELM,2020-03-17,1
CA,EWR,2020-03-03,3
CA,EWR,2020-03-06,6
CA,EWR,2020-03-08,11
CA,EWR,2020-03-13,4
CA,EWR,2020-03-14,3
CA,EWR,2020-03-16,3
CA,EWR,2020-03-17,1
CA,EWR,2020-03-21,7
CA,EWR,2020-03-22,5
CA,EWR,2020-03-24,1
CA,JFK,2020-03-03,3
CA,JFK,2020-03-04,1
CA,JFK,2020-03-05,1
CA,JFK,2020-03-09,20
CA,JFK,2020-03-10,11
CA,JFK,2020-03-13,1
CA,JFK,2020-03-14,20
CA,JFK,2020-03-15,3
CA,JFK,2020-03-16,5
CA,JFK,2020-03-20,6
CA,JFK,2020-03-21,4
CA,JFK,2020-03-24,5
CA,JFK,2020-03-26,1
CA,LGA,2020-03-07,1
CA,LGA,2020-03-13,1
CA,LGA,2020-03-15,1
CA,LGA,2020-03-17,1
CA,LGA,2020-03-18,1
CA,LGA,2020-03-20,1
CA,ROC,2020-03-04,1
CA,ROC,2020-03-11,1
CA,SWF,2020-03-30,1
CA,SYR,2020-03-25,1
CAN,BDL,2020-03-11,1
CAN,EWR,2020-03-15,2
CAN,EWR,2020-03-16,1
CAN,EWR,2020-03-28,1
CAN,JFK,2020-03-19,1
CAN,LGA,2020-03-09,1
CAN,LGA,2020-03-14,2
CAN,LGA,2020-03-26,1
CHE,EWR,2020-03-04,2
CHE,EWR,2020-03-06,1
CHE,EWR,2020-03-08,2
CHE,EWR,2020-03-11,1
CHE,EWR,2020-03-16,1
CHE,EWR,2020-03-22,1
CHE,JFK,2020-03-05,3
CHE,JFK,2020-03-07,1
CHE,JFK,2020-03-15,1
CO,ALB,2020-03-15,1
CO,BDL,2020-03-14,1
CO,BDL,2020-03-21,1
CO,BUF,2020-03-24,1
CO,EWR,2020-03-12,1
CO,EWR,2020-03-14,3
CO,EWR,2020-03-15,1
CO,EWR,2020-03-17,8
CO,EWR,2020-03-20,3
CO,EWR,2020-03-22,1
CO,EWR,2020-03-25,5
CO,EWR,2020-03-26,1
CO,EWR,2020-03-30,1
CO,JFK,2020-03-08,1
CO,JFK,2020-03-11,2
CO,JFK,2020-03-14,1
CO,JFK,2020-03-19,5
CO,LGA,2020-03-13,3
CO,LGA,2020-03-17,1
CO,LGA,2020-03-18,3
CO,LGA,2020-03-22,2
CO,LGA,2020-03-23,1
CO,LGA,2020-03-25,1
CO,LGA,2020-03-28,2
CO,SYR,2020-03-11,4
COL,EWR,2020-03-10,1
CT,FRG,2020-03-13,1
CT,FRG,2020-03-17,1
CT,FRG,2020-03-29,2
CT,HTO,2020-03-08,1
CT,HTO,2020-03-10,2
CT,PCT,2020-03-14,1
CT,TEB,2020-03-10,1
CT,TEB,2020-03-12,1
CZE,JFK,2020-03-17,1
DC,ALB,2020-03-08,1
DC,ALB,2020-03-28,1
DC,ART,2020-03-25,1
DC,BDL,2020-03-07,1
DC,BDL,2020-03-10,2
DC,BDL,2020-03-17,2
DC,BDL,2020-03-19,1
DC,BDL,2020-03-27,1
DC,BDL,2020-03-28,1
DC,BDL,2020-03-31,1
DC,BUF,2020-03-09,1
DC,BUF,2020-03-12,1
DC,BUF,2020-03-16,1
DC,BUF,2020-03-20,1
DC,BUF,2020-03-26,1
DC,BUF,2020-03-29,1
DC,EWR,2020-03-20,3
DC,HPN,2020-03-18,2
DC,HPN,2020-03-20,2
DC,HPN,2020-03-28,1
DC,JFK,2020-03-10,4
DC,JFK,2020-03-12,1
DC,JFK,2020-03-16,1
DC,JFK,2020-03-17,3
