source,destination,t,this.sim
CA,JFK,2020-01-23,1
Guangdong,JFK,2020-01-22,1
Hubei,JFK,2020-01-18,1
Hubei,JFK,2020-01-21,1
Hubei,JFK,2020-01-22,1
Hunan,JFK,2020-01-23,1
SGP,JFK,2020-01-25,1
Shandong,JFK,2020-01-20,1
Shanghai,JFK,2020-01-22,1
Zhejiang,JFK,2020-01-24,1
AUS,JFK,2020-02-20,1
AUT,JFK,2020-02-28,1
CA,EWR,2020-02-23,2
CA,EWR,2020-02-24,2
CA,JFK,2020-02-25,3
CAN,JFK,2020-02-27,1
CHE,EWR,2020-02-21,1
CHE,EWR,2020-02-26,1
CHE,JFK,2020-02-23,1
CHE,JFK,2020-02-26,1
DEU,JFK,2020-02-17,1
DOM,JFK,2020-02-28,1
ESP,JFK,2020-02-23,1
ESP,JFK,2020-02-24,1
FL,BDL,2020-02-28,1
FL,EWR,2020-02-27,2
FL,ISP,2020-02-20,1
FL,JFK,2020-02-27,1
FL,JFK,2020-02-28,3
FL,LGA,2020-02-23,1
FRA,EWR,2020-02-25,1
FRA,EWR,2020-02-26,1
FRA,EWR,2020-02-28,1
FRA,JFK,2020-02-23,2
IL,EWR,2020-02-21,1
IRL,EWR,2020-02-26,1
IRN,JFK,2020-02-24,1
ISL,EWR,2020-02-22,1
ISL,EWR,2020-02-27,1
ISL,JFK,2020-02-22,2
ISL,JFK,2020-02-24,1
ITA,EWR,2020-02-19,2
ITA,EWR,2020-02-21,1
ITA,EWR,2020-02-27,2
ITA,EWR,2020-02-28,1
ITA,JFK,2020-02-12,1
ITA,JFK,2020-02-21,1
ITA,JFK,2020-02-23,1
ITA,JFK,2020-02-24,10
ITA,JFK,2020-02-26,1
ITA,JFK,2020-02-27,17
KOR,BDL,2020-02-21,1
KOR,JFK,2020-02-08,1
KOR,JFK,2020-02-10,2
KOR,JFK,2020-02-17,1
KOR,JFK,2020-02-18,1
KOR,JFK,2020-02-19,2
KOR,SYR,2020-02-22,1
LA,BDL,2020-02-28,1
MA,BUF,2020-02-25,1
MA,EWR,2020-02-25,1
NOR,JFK,2020-02-25,1
NOR,JFK,2020-02-26,1
NV,ISP,2020-02-28,1
NY,JFK,2020-02-24,1
NY,SYR,2020-02-26,1
RI,GFL,2020-02-21,1
SWE,EWR,2020-02-24,1
WA,JFK,2020-02-22,1
WA,JFK,2020-02-24,1
WA,JFK,2020-02-27,1
WA,JFK,2020-02-28,1
AK,JFK,2020-03-16,2
AL,BDL,2020-03-12,1
AL,BDL,2020-03-24,1
AL,BUF,2020-03-28,1
AL,EWR,2020-03-11,1
AL,EWR,2020-03-21,1
AL,LGA,2020-03-15,2
AL,LGA,2020-03-16,1
AL,LGA,2020-03-19,1
AR,ALB,2020-03-27,1
AR,BDL,2020-03-21,1
AR,EWR,2020-03-07,1
AR,EWR,2020-03-08,1
AR,LGA,2020-03-21,1
AR,LGA,2020-03-23,1
AR,LGA,2020-03-28,1
ARE,JFK,2020-03-07,1
ARE,JFK,2020-03-24,1
AUS,JFK,2020-03-04,1
AUS,JFK,2020-03-08,2
AUS,JFK,2020-03-13,1
AUT,EWR,2020-03-01,1
AUT,EWR,2020-03-18,1
AUT,JFK,2020-03-06,1
AUT,JFK,2020-03-14,2
AZ,ALB,2020-03-19,1
AZ,BDL,2020-03-03,1
AZ,BDL,2020-03-17,1
AZ,BUF,2020-03-10,1
AZ,EWR,2020-03-11,1
AZ,EWR,2020-03-12,1
AZ,EWR,2020-03-14,1
AZ,EWR,2020-03-17,4
AZ,EWR,2020-03-19,1
AZ,EWR,2020-03-25,1
AZ,JFK,2020-03-12,3
AZ,JFK,2020-03-13,3
AZ,JFK,2020-03-14,1
AZ,JFK,2020-03-16,2
AZ,JFK,2020-03-18,3
AZ,JFK,2020-03-19,4
AZ,JFK,2020-03-20,1
AZ,JFK,2020-03-23,1
AZ,JFK,2020-03-26,1
AZ,JFK,2020-03-28,1
AZ,LGA,2020-03-19,1
AZ,LGA,2020-03-24,1
AZ,LGA,2020-03-29,1
BEL,EWR,2020-03-09,1
BEL,EWR,2020-03-15,1
BEL,EWR,2020-03-29,1
BEL,JFK,2020-03-04,1
BEL,JFK,2020-03-12,1
BRA,JFK,2020-03-06,1
BRA,JFK,2020-03-20,1
BRB,JFK,2020-03-07,1
CA,ALB,2020-03-12,1
CA,ALB,2020-03-14,2
CA,ALB,2020-03-15,1
CA,ALB,2020-03-17,1
CA,ALB,2020-03-19,1
CA,BDL,2020-03-03,1
CA,BDL,2020-03-06,1
CA,BDL,2020-03-08,1
CA,BDL,2020-03-14,2
CA,BDL,2020-03-15,1
CA,BDL,2020-03-16,1
CA,BUF,2020-03-21,1
