source,destination,t,this.sim
Hubei,ROC,2020-01-23,1
Shanghai,LGA,2020-01-21,1
CA,EWR,2020-02-22,1
CA,JFK,2020-02-24,1
CA,JFK,2020-02-28,1
CHE,JFK,2020-02-24,1
CHE,JFK,2020-02-28,3
ESP,JFK,2020-02-22,1
ESP,JFK,2020-02-27,1
FRA,JFK,2020-02-24,1
FRA,JFK,2020-02-26,2
FRA,JFK,2020-02-28,2
GA,LGA,2020-02-28,1
GRC,EWR,2020-02-27,1
IL,LGA,2020-02-27,1
IRL,EWR,2020-02-23,1
ITA,EWR,2020-02-11,1
ITA,EWR,2020-02-23,1
ITA,EWR,2020-02-24,3
ITA,EWR,2020-02-25,1
ITA,EWR,2020-02-26,1
ITA,EWR,2020-02-28,1
ITA,JFK,2020-02-20,2
ITA,JFK,2020-02-23,1
ITA,JFK,2020-02-26,2
ITA,JFK,2020-02-27,1
ITA,JFK,2020-02-28,1
KOR,JFK,2020-02-25,2
KOR,JFK,2020-02-28,1
MA,LGA,2020-02-28,1
MD,FRG,2020-02-24,1
NH,TEB,2020-02-18,1
NY,EWR,2020-02-28,1
NY,ROC,2020-02-26,1
OR,EWR,2020-02-18,1
WA,JFK,2020-02-22,1
AL,EWR,2020-03-17,1
AL,JFK,2020-03-10,1
AR,LGA,2020-03-14,1
AR,LGA,2020-03-23,1
ARE,JFK,2020-03-26,1
AUT,EWR,2020-03-01,1
AUT,JFK,2020-03-08,1
AUT,JFK,2020-03-20,1
AZ,BDL,2020-03-16,1
AZ,BUF,2020-03-26,1
AZ,EWR,2020-03-10,1
AZ,EWR,2020-03-11,3
AZ,EWR,2020-03-18,1
AZ,EWR,2020-03-19,1
AZ,EWR,2020-03-30,1
AZ,ISP,2020-03-20,1
AZ,JFK,2020-03-12,1
AZ,JFK,2020-03-13,1
AZ,JFK,2020-03-17,3
AZ,JFK,2020-03-21,1
AZ,JFK,2020-03-23,2
AZ,LGA,2020-03-01,1
BEL,EWR,2020-03-13,1
BEL,JFK,2020-03-04,1
BEL,JFK,2020-03-18,1
BLZ,EWR,2020-03-18,1
BRB,JFK,2020-03-18,1
BRB,JFK,2020-03-30,1
CA,ALB,2020-03-13,1
CA,ALB,2020-03-23,1
CA,BDL,2020-03-16,1
CA,BDL,2020-03-25,1
CA,BUF,2020-03-11,1
CA,BUF,2020-03-12,1
CA,BUF,2020-03-14,1
CA,BUF,2020-03-20,1
CA,BUF,2020-03-29,2
CA,EWR,2020-03-04,1
CA,EWR,2020-03-07,7
CA,EWR,2020-03-09,1
CA,EWR,2020-03-16,1
CA,EWR,2020-03-17,7
CA,EWR,2020-03-18,6
CA,EWR,2020-03-19,1
CA,EWR,2020-03-21,2
CA,EWR,2020-03-22,4
CA,EWR,2020-03-24,10
CA,EWR,2020-03-26,1
CA,EWR,2020-03-29,1
CA,HPN,2020-03-17,1
CA,JFK,2020-03-04,1
CA,JFK,2020-03-05,2
CA,JFK,2020-03-06,1
CA,JFK,2020-03-08,1
CA,JFK,2020-03-10,12
CA,JFK,2020-03-13,8
CA,JFK,2020-03-15,14
CA,JFK,2020-03-20,2
CA,JFK,2020-03-25,10
CA,JFK,2020-03-30,2
CA,LGA,2020-03-16,1
CA,LGA,2020-03-17,1
CA,LGA,2020-03-19,3
CA,LGA,2020-03-20,1
CA,LGA,2020-03-24,2
CA,LGA,2020-03-30,1
CA,ROC,2020-03-13,1
CA,ROC,2020-03-14,1
CA,ROC,2020-03-17,1
CA,ROC,2020-03-21,1
CA,SYR,2020-03-14,1
