source,destination,t,this.sim
Beijing,ROC,2020-01-23,1
Hubei,JFK,2020-01-20,5
Hubei,JFK,2020-01-21,2
Hubei,JFK,2020-01-22,4
Hubei,JFK,2020-01-23,2
Shanghai,JFK,2020-01-20,2
AUT,JFK,2020-02-25,1
AUT,JFK,2020-02-26,1
CA,BDL,2020-02-24,1
CA,EWR,2020-02-21,1
CA,EWR,2020-02-25,1
CA,JFK,2020-02-24,4
CA,JFK,2020-02-28,1
CHE,JFK,2020-02-22,1
CHE,JFK,2020-02-26,1
CHE,JFK,2020-02-28,2
DEU,EWR,2020-02-21,1
DEU,JFK,2020-02-28,1
DNK,EWR,2020-02-26,1
DNK,JFK,2020-02-27,2
ESP,BDL,2020-02-24,1
ESP,EWR,2020-02-24,1
ESP,JFK,2020-02-28,1
FL,EWR,2020-02-28,2
FRA,JFK,2020-02-24,2
FRA,JFK,2020-02-27,1
GBR,JFK,2020-02-26,2
ISL,EWR,2020-02-20,2
ISL,EWR,2020-02-23,2
ITA,BUF,2020-02-25,1
ITA,EWR,2020-02-23,1
ITA,EWR,2020-02-25,2
ITA,JFK,2020-02-14,1
ITA,JFK,2020-02-15,1
ITA,JFK,2020-02-18,3
ITA,JFK,2020-02-22,1
ITA,JFK,2020-02-24,2
ITA,JFK,2020-02-25,10
ITA,JFK,2020-02-28,5
ITA,SYR,2020-02-25,1
KOR,JFK,2020-02-21,1
KOR,JFK,2020-02-27,1
KOR,JFK,2020-02-28,1
MO,LGA,2020-02-27,1
NOR,JFK,2020-02-28,2
NY,BUF,2020-02-26,2
NY,JFK,2020-02-24,1
NY,JFK,2020-02-27,1
VT,PCT,2020-02-22,1
AL,BUF,2020-03-22,1
AL,JFK,2020-03-19,1
AR,BDL,2020-03-16,1
AR,LGA,2020-03-10,1
AR,LGA,2020-03-12,1
ARE,JFK,2020-03-24,1
ARE,JFK,2020-03-31,1
AUS,LGA,2020-03-19,1
AUT,EWR,2020-03-08,1
AUT,EWR,2020-03-15,1
AUT,JFK,2020-03-05,1
AUT,JFK,2020-03-17,1
AUT,JFK,2020-03-24,1
AZ,BGM,2020-03-08,1
AZ,BUF,2020-03-12,4
AZ,BUF,2020-03-16,1
AZ,BUF,2020-03-29,1
AZ,EWR,2020-03-10,2
AZ,EWR,2020-03-11,1
AZ,EWR,2020-03-12,1
