source,destination,t,this.sim
Hubei,EWR,2020-01-23,1
Hubei,JFK,2020-01-17,1
CA,EWR,2020-02-26,1
CA,JFK,2020-02-28,1
CZE,JFK,2020-02-16,1
DEU,EWR,2020-02-23,1
ESP,JFK,2020-02-28,2
FIN,JFK,2020-02-27,1
FL,EWR,2020-02-19,1
FL,IAG,2020-02-27,1
FRA,JFK,2020-02-22,2
GBR,EWR,2020-02-16,1
ISL,EWR,2020-02-20,1
ISL,EWR,2020-02-28,1
ISL,JFK,2020-02-23,2
ISL,JFK,2020-02-26,2
ITA,BDL,2020-02-28,1
ITA,EWR,2020-02-24,1
ITA,EWR,2020-02-28,4
ITA,JFK,2020-02-19,1
ITA,JFK,2020-02-23,2
ITA,JFK,2020-02-25,1
ITA,JFK,2020-02-27,1
KOR,JFK,2020-02-24,1
NY,BUF,2020-02-26,1
NY,ROC,2020-02-27,1
SWE,EWR,2020-02-22,1
WA,JFK,2020-02-28,1
AL,BDL,2020-03-19,1
AL,EWR,2020-03-18,1
AL,LGA,2020-03-24,1
AR,EWR,2020-03-14,1
AR,JFK,2020-03-13,1
ATG,JFK,2020-03-16,1
AUT,EWR,2020-03-12,1
AUT,JFK,2020-03-16,1
AZ,ALB,2020-03-18,1
AZ,BUF,2020-03-20,1
AZ,EWR,2020-03-15,2
AZ,EWR,2020-03-18,1
AZ,EWR,2020-03-19,1
AZ,EWR,2020-03-20,2
AZ,EWR,2020-03-23,2
AZ,EWR,2020-03-24,1
AZ,JFK,2020-03-02,1
AZ,JFK,2020-03-25,1
AZ,SYR,2020-03-15,2
BEL,JFK,2020-03-14,1
BRB,BDL,2020-03-07,1
CA,ALB,2020-03-12,1
CA,BDL,2020-03-01,1
CA,BDL,2020-03-19,1
CA,BUF,2020-03-11,1
CA,BUF,2020-03-18,3
CA,EWR,2020-03-01,1
CA,EWR,2020-03-08,2
CA,EWR,2020-03-10,2
CA,EWR,2020-03-13,2
CA,EWR,2020-03-16,1
CA,EWR,2020-03-18,6
CA,EWR,2020-03-20,10
CA,EWR,2020-03-28,4
CA,EWR,2020-03-29,1
CA,HVN,2020-03-25,1
CA,ITH,2020-03-22,1
CA,JFK,2020-03-02,2
CA,JFK,2020-03-04,2
CA,JFK,2020-03-11,9
CA,JFK,2020-03-12,9
CA,JFK,2020-03-15,1
CA,JFK,2020-03-17,20
CA,JFK,2020-03-18,2
CA,JFK,2020-03-20,1
CA,JFK,2020-03-21,3
CA,JFK,2020-03-24,3
CA,JFK,2020-03-26,1
CA,JFK,2020-03-28,3
CA,JFK,2020-03-29,1
CA,LGA,2020-03-10,1
CA,ROC,2020-03-23,1
CA,SYR,2020-03-10,1
CA,SYR,2020-03-11,1
CAN,EWR,2020-03-25,1
CAN,LGA,2020-03-27,7
CHE,EWR,2020-03-02,1
CHE,EWR,2020-03-15,1
CHE,JFK,2020-03-08,9
CHE,JFK,2020-03-12,2
CHE,JFK,2020-03-16,1
CHE,JFK,2020-03-23,3
CO,ALB,2020-03-22,1
CO,BDL,2020-03-22,3
CO,BUF,2020-03-31,1
CO,EWR,2020-03-05,1
CO,EWR,2020-03-07,1
CO,EWR,2020-03-10,2
CO,EWR,2020-03-18,7
CO,EWR,2020-03-20,1
CO,EWR,2020-03-29,1
CO,JFK,2020-03-06,1
CO,JFK,2020-03-09,1
CO,JFK,2020-03-11,1
CO,JFK,2020-03-17,4
CO,JFK,2020-03-19,4
CO,JFK,2020-03-26,2
CO,LGA,2020-03-02,2
CO,LGA,2020-03-11,1
CO,LGA,2020-03-12,1
CO,LGA,2020-03-13,1
CO,LGA,2020-03-18,1
CO,LGA,2020-03-21,1
CO,LGA,2020-03-28,4
CO,ROC,2020-03-26,1
CO,SYR,2020-03-10,1
CT,HTO,2020-03-13,3
CT,HTO,2020-03-23,3
CT,ITH,2020-03-26,1
CT,SYR,2020-03-24,1
CT,TEB,2020-03-10,1
CT,TEB,2020-03-15,2
CT,TEB,2020-03-26,1
CT,WSH,2020-03-27,1
CZE,JFK,2020-03-07,1
DC,ALB,2020-03-15,1
DC,BDL,2020-03-07,2
DC,BDL,2020-03-10,4
DC,BDL,2020-03-13,1
DC,BDL,2020-03-17,1
DC,BDL,2020-03-20,1
DC,BDL,2020-03-21,1
DC,BDL,2020-03-26,2
DC,BDL,2020-03-27,1
DC,BUF,2020-03-12,1
DC,BUF,2020-03-16,1
DC,BUF,2020-03-20,1
DC,EWR,2020-03-07,1
DC,EWR,2020-03-17,1
DC,EWR,2020-03-22,1
DC,EWR,2020-03-28,2
DC,GON,2020-03-06,1
DC,HPN,2020-03-29,1
DC,JFK,2020-03-08,1
DC,JFK,2020-03-15,2
DC,JFK,2020-03-20,2
DC,JFK,2020-03-22,1
DC,LGA,2020-03-09,1
DC,LGA,2020-03-11,2
DC,LGA,2020-03-12,2
DC,LGA,2020-03-13,2
DC,LGA,2020-03-17,1
DC,LGA,2020-03-18,3
DC,LGA,2020-03-19,2
DC,LGA,2020-03-22,2
DC,LGA,2020-03-26,1
DC,LGA,2020-03-28,1
DC,ROC,2020-03-17,1
DC,ROC,2020-03-28,2
DC,SYR,2020-03-09,1
DC,TEB,2020-03-13,1
DE,ISP,2020-03-23,1
DEU,JFK,2020-03-01,2
DEU,JFK,2020-03-05,2
DEU,JFK,2020-03-08,3
DEU,JFK,2020-03-15,1
DEU,JFK,2020-03-23,1
DNK,JFK,2020-03-02,1
DOM,EWR,2020-03-15,1
ECU,JFK,2020-03-07,1
ESP,EWR,2020-03-09,1
ESP,EWR,2020-03-17,1
ESP,JFK,2020-03-05,2
ESP,JFK,2020-03-07,1
ESP,JFK,2020-03-14,3
ESP,JFK,2020-03-17,1
ESP,JFK,2020-03-20,1
FL,ACY,2020-03-06,1
FL,ACY,2020-03-13,2
FL,ACY,2020-03-17,7
FL,ACY,2020-03-25,4
FL,ALB,2020-03-12,4
FL,ALB,2020-03-13,1
FL,ALB,2020-03-15,1
FL,ALB,2020-03-17,1
FL,ALB,2020-03-18,5
FL,ALB,2020-03-30,2
FL,BDL,2020-03-14,1
FL,BDL,2020-03-18,2
FL,BDL,2020-03-20,3
FL,BDL,2020-03-21,10
FL,BDL,2020-03-24,1
FL,BDL,2020-03-29,5
FL,BUF,2020-03-14,3
FL,BUF,2020-03-15,1
FL,BUF,2020-03-19,2
FL,BUF,2020-03-21,1
FL,BUF,2020-03-27,1
FL,BUF,2020-03-31,4
FL,ELM,2020-03-15,1
FL,ELM,2020-03-28,1
FL,EWR,2020-03-02,2
FL,EWR,2020-03-06,3
FL,EWR,2020-03-14,4
FL,EWR,2020-03-15,1
FL,EWR,2020-03-16,30
FL,EWR,2020-03-20,5
FL,EWR,2020-03-21,1
FL,EWR,2020-03-23,1
FL,EWR,2020-03-24,3
FL,EWR,2020-03-26,13
FL,EWR,2020-03-28,1
FL,EWR,2020-03-30,2
FL,EWR,2020-03-31,3
FL,HPN,2020-03-08,1
FL,HPN,2020-03-17,1
FL,HPN,2020-03-19,1
FL,HPN,2020-03-21,1
FL,HPN,2020-03-22,1
FL,HPN,2020-03-31,3
FL,IAG,2020-03-12,1
FL,IAG,2020-03-21,1
FL,IAG,2020-03-24,2
FL,ISP,2020-03-08,1
FL,ISP,2020-03-12,1
FL,ISP,2020-03-13,1
FL,ISP,2020-03-16,1
FL,ISP,2020-03-21,5
FL,ISP,2020-03-25,2
FL,ISP,2020-03-26,2
FL,ISP,2020-03-27,2
FL,ITH,2020-03-09,1
FL,ITH,2020-03-16,1
FL,JFK,2020-03-02,1
FL,JFK,2020-03-06,1
FL,JFK,2020-03-11,1
FL,JFK,2020-03-12,2
FL,JFK,2020-03-13,1
FL,JFK,2020-03-17,3
FL,JFK,2020-03-18,2
FL,JFK,2020-03-19,2
FL,JFK,2020-03-20,9
FL,JFK,2020-03-23,1
FL,JFK,2020-03-31,2
FL,LGA,2020-03-09,2
FL,LGA,2020-03-10,1
FL,LGA,2020-03-12,3
FL,LGA,2020-03-14,1
FL,LGA,2020-03-16,12
FL,LGA,2020-03-18,1
FL,LGA,2020-03-19,7
FL,LGA,2020-03-20,1
FL,LGA,2020-03-21,2
FL,LGA,2020-03-22,16
FL,LGA,2020-03-23,1
FL,LGA,2020-03-25,2
FL,LGA,2020-03-26,7
FL,LGA,2020-03-29,1
FL,OGS,2020-03-26,1
FL,PBG,2020-03-20,1
FL,ROC,2020-03-10,2
FL,ROC,2020-03-21,1
FL,ROC,2020-03-22,1
FL,ROC,2020-03-27,1
FL,SYR,2020-03-06,2
FL,SYR,2020-03-16,2
FL,SYR,2020-03-17,2
FL,SYR,2020-03-25,1
FL,SYR,2020-03-28,1
FL,TTN,2020-03-10,1
FL,TTN,2020-03-20,1
FL,TTN,2020-03-21,1
FL,TTN,2020-03-23,2
FRA,EWR,2020-03-23,1
GA,ALB,2020-03-18,1
GA,BDL,2020-03-14,1
GA,BDL,2020-03-18,1
GA,BDL,2020-03-24,1
GA,BUF,2020-03-16,1
GA,BUF,2020-03-18,1
GA,BUF,2020-03-21,1
GA,ELM,2020-03-24,1
GA,EWR,2020-03-13,2
GA,EWR,2020-03-15,2
GA,EWR,2020-03-16,3
GA,EWR,2020-03-17,3
GA,EWR,2020-03-29,3
GA,HPN,2020-03-08,1
GA,HPN,2020-03-23,1
GA,HPN,2020-03-27,1
GA,JFK,2020-03-02,1
GA,JFK,2020-03-06,1
GA,JFK,2020-03-15,1
GA,JFK,2020-03-16,1
GA,JFK,2020-03-21,2
GA,JFK,2020-03-22,1
GA,JFK,2020-03-28,1
GA,LGA,2020-03-12,1
GA,LGA,2020-03-13,3
GA,LGA,2020-03-15,2
GA,LGA,2020-03-16,3
GA,LGA,2020-03-17,6
GA,LGA,2020-03-21,4
GA,LGA,2020-03-25,6
GA,LGA,2020-03-26,1
GA,LGA,2020-03-27,1
GA,LGA,2020-03-28,3
GA,ROC,2020-03-07,1
GA,ROC,2020-03-11,1
GA,ROC,2020-03-16,1
GA,SYR,2020-03-17,1
GBR,EWR,2020-03-12,1
GBR,EWR,2020-03-27,2
GBR,EWR,2020-03-31,2
GBR,JFK,2020-03-08,1
GBR,JFK,2020-03-12,1
GBR,JFK,2020-03-21,2
GBR,JFK,2020-03-22,1
GBR,JFK,2020-03-24,2
GBR,JFK,2020-03-26,1
GBR,JFK,2020-03-29,1
HI,JFK,2020-03-17,1
IA,EWR,2020-03-20,1
IA,LGA,2020-03-01,1
IA,LGA,2020-03-17,1
ID,JFK,2020-03-14,1
IL,ALB,2020-03-18,2
IL,ALB,2020-03-20,1
IL,BDL,2020-03-13,5
IL,BDL,2020-03-14,1
IL,BDL,2020-03-17,1
IL,BUF,2020-03-10,1
IL,BUF,2020-03-14,1
IL,BUF,2020-03-17,1
IL,EWR,2020-03-09,1
IL,EWR,2020-03-10,3
IL,EWR,2020-03-11,2
IL,EWR,2020-03-12,1
IL,EWR,2020-03-15,3
IL,EWR,2020-03-18,1
IL,EWR,2020-03-20,5
IL,EWR,2020-03-21,6
IL,EWR,2020-03-24,2
IL,EWR,2020-03-25,4
IL,EWR,2020-03-26,2
IL,HPN,2020-03-29,1
IL,ISP,2020-03-15,1
IL,ISP,2020-03-17,1
IL,JFK,2020-03-14,1
IL,JFK,2020-03-18,1
IL,JFK,2020-03-22,1
IL,JFK,2020-03-23,1
IL,JFK,2020-03-29,1
IL,LGA,2020-03-05,1
IL,LGA,2020-03-08,1
IL,LGA,2020-03-11,7
IL,LGA,2020-03-15,1
IL,LGA,2020-03-20,1
IL,LGA,2020-03-22,2
IL,LGA,2020-03-26,4
IL,LGA,2020-03-29,4
IL,LGA,2020-03-30,3
IL,LGA,2020-03-31,3
IL,ROC,2020-03-07,1
IL,ROC,2020-03-14,1
IL,SYR,2020-03-21,2
IN,BUF,2020-03-24,1
IN,EWR,2020-03-19,1
IN,EWR,2020-03-29,1
IN,LGA,2020-03-04,1
IN,LGA,2020-03-18,1
IN,ROC,2020-03-15,1
IRL,EWR,2020-03-28,1
IRL,JFK,2020-03-15,1
IRL,JFK,2020-03-16,1
IRL,SWF,2020-03-07,1
IRN,JFK,2020-03-31,1
ISL,EWR,2020-03-16,1
ISL,JFK,2020-03-03,3
ISL,JFK,2020-03-06,1
ISR,EWR,2020-03-10,1
ISR,JFK,2020-03-24,1
ITA,EWR,2020-03-05,2
ITA,EWR,2020-03-08,1
ITA,JFK,2020-03-02,1
ITA,JFK,2020-03-03,2
ITA,JFK,2020-03-04,1
ITA,JFK,2020-03-06,1
ITA,JFK,2020-03-10,1
ITA,JFK,2020-03-11,2
ITA,JFK,2020-03-17,2
ITA,JFK,2020-03-21,1
ITA,JFK,2020-03-28,1
KY,BDL,2020-03-21,1
KY,LGA,2020-03-12,1
KY,LGA,2020-03-17,1
LA,ALB,2020-03-18,1
LA,BDL,2020-03-07,1
LA,BDL,2020-03-11,1
LA,BDL,2020-03-29,1
LA,BUF,2020-03-05,1
LA,BUF,2020-03-17,1
LA,BUF,2020-03-21,1
LA,EWR,2020-03-10,2
LA,EWR,2020-03-11,1
LA,EWR,2020-03-15,4
LA,EWR,2020-03-16,1
LA,EWR,2020-03-19,1
LA,EWR,2020-03-22,4
LA,EWR,2020-03-25,1
LA,JFK,2020-03-05,2
LA,JFK,2020-03-06,1
LA,JFK,2020-03-14,2
LA,JFK,2020-03-15,2
LA,JFK,2020-03-18,1
LA,JFK,2020-03-20,2
LA,JFK,2020-03-23,1
