Dep Airport Code,Dep Airport Name,Dep City Name,Dep Country Code,Dep Country Name
AOG,Anshan,Anshan,CN,China
BAV,Baotou,Baotou,CN,China
AQG,Anqing,Anqing,CN,China
BHY,Beihai,Beihai,CN,China
BSD,Baoshan,Baoshan,CN,China
CAN,Guangzhou,Guangzhou,CN,China
BPE,Qinhaungdao,Qinhaungdao,CN,China
CGO,Zhengzhou,Zhengzhou,CN,China
CGD,Changde,Changde,CN,China
CGQ,Changchun,Changchun,CN,China
CIF,Chifeng,Chifeng,CN,China
CKG,Chongqing,Chongqing,CN,China
CSX,Changsha,Changsha,CN,China
CTU,Chengdu,Chengdu,CN,China
CZX,Changzhou,Changzhou,CN,China
DAT,Datong,Datong,CN,China
DAX,Dazhou,Dazhou,CN,China
DDG,Dandong,Dandong,CN,China
DLC,Dalian,Dalian,CN,China
DLU,Dali,Dali,CN,China
DOY,Dongying,Dongying,CN,China
DNH,Dunhuang,Dunhuang,CN,China
DQA,Daqing,Daqing,CN,China
DSN,Ordos,Ordos,CN,China
DYG,Zhangjiajie,Zhangjiajie,CN,China
ENH,Enshi,Enshi,CN,China
ENY,Yan'an,Yan'an,CN,China
FOC,Fuzhou,Fuzhou,CN,China
HAK,Haikou,Haikou,CN,China
FYG,Shenzhen Fuyong Ferry Port,Shenzhen Fuyong Ferry Port,CN,China
HET,Hohhot,Hohhot,CN,China
HDG,Handan,Handan,CN,China
HFE,Hefei,Hefei,CN,China
HGH,Hangzhou,Hangzhou,CN,China
HRB,Harbin,Harbin,CN,China
HHL,Hangzhou Tourist Ctr Bus Stn,Hangzhou Tourist Ctr Bus Stn,CN,China
HLD,Hailar,Hailar,CN,China
HLH,Ulanhot,Ulanhot,CN,China
HNY,Hengyang,Hengyang,CN,China
HIA,Huai'an,Huai'an,CN,China
HSN,Zhoushan,Zhoushan,CN,China
HUZ,Huizhou,Huizhou,CN,China
HYN,Taizhou,Taizhou,CN,China
INC,Yinchuan,Yinchuan,CN,China
HZD,Hangzhou Railway Station,Hangzhou Railway Station,CN,China
JDZ,Jingdezhen,Jingdezhen,CN,China
JJN,Quanzhou,Quanzhou,CN,China
JGS,Ji'an,Ji'an,CN,China
JHG,Jinghong,Jinghong,CN,China
JMU,Jiamusi,Jiamusi,CN,China
JNG,Jining,Jining,CN,China
JXA,Jixi,Jixi,CN,China
KHN,Nanchang,Nanchang,CN,China
KHG,Kashi,Kashi,CN,China
KMG,Kunming,Kunming,CN,China
KOW,Ganzhou,Ganzhou,CN,China
KWE,Guiyang,Guiyang,CN,China
KRL,Korla,Korla,CN,China
