Dep Airport Code,Dep Airport Name,Dep City Name,Dep Country Code,Dep Country Name
KWL,Guilin,Guilin,CN,China
LHW,Lanzhou Zhongchuan Apt,Lanzhou Zhongchuan Apt,CN,China
LDS,Yichun,Yichun,CN,China
LJG,Lijiang,Lijiang,CN,China
LNJ,Lincang,Lincang,CN,China
LXA,Lhasa/Lasa,Lhasa/Lasa,CN,China
LUM,Mangshi,Mangshi,CN,China
LYG,Lianyungang,Lianyungang,CN,China
LYA,Luoyang,Luoyang,CN,China
LZH,Liuzhou,Liuzhou,CN,China
LYI,Linyi,Linyi,CN,China
LZO,Luzhou,Luzhou,CN,China
MDG,Mudanjiang,Mudanjiang,CN,China
MIG,Mianyang,Mianyang,CN,China
NAO,Nanchong,Nanchong,CN,China
NGB,Ningbo,Ningbo,CN,China
NAY,Beijing Nanyuan Apt,Beijing,CN,China
NDG,Qiqihar,Qiqihar,CN,China
MXZ,Meixian,Meixian,CN,China
NKG,Nanjing,Nanjing,CN,China
NNG,Nanning,Nanning,CN,China
NKJ,Nanjing Rail Station,Nanjing Rail Station,CN,China
NNY,Nanyang,Nanyang,CN,China
NTG,Nantong,Nantong,CN,China
NZH,Manzhouli,Manzhouli,CN,China
PEK,Beijing Capital Intl Apt,Beijing,CN,China
NSZ,Nan Sha,Nan Sha,CN,China
PVG,Shanghai Pudong International Apt,Shanghai,CN,China
RIZ,Rizhao,Rizhao,CN,China
SHA,Shanghai Hongqiao International Apt,Shanghai,CN,China
SHE,Shenyang,Shenyang,CN,China
SJW,Shijiazhuang,Shijiazhuang,CN,China
SWA,Shantou,Shantou,CN,China
SYX,Sanya,Sanya,CN,China
SYM,Simao,Simao,CN,China
SZX,Shenzhen,Shenzhen,CN,China
SZV,Suzhou,Suzhou,CN,China
TAO,Qingdao,Qingdao,CN,China
TNA,Jinan,Jinan,CN,China
TLQ,Turpan,Turpan,CN,China
TSN,Tianjin,Tianjin,CN,China
TXN,Huangshan,Huangshan,CN,China
TYN,Taiyuan,Taiyuan,CN,China
TVS,Tangshan,Tangshan,CN,China
TNH,Tonghua,Tonghua,CN,China
URC,Urumqi,Urumqi,CN,China
UCB,Ulanqab,Ulanqab,CN,China
WEH,Weihai,Weihai,CN,China
WDS,Shiyan,Shiyan,CN,China
UYN,Yulin,Yulin,CN,China
WNZ,Wenzhou,Wenzhou,CN,China
WNH,Wenshan,Wenshan,CN,China
WUH,Wuhan,Wuhan,CN,China
WUS,Wuyishan,Wuyishan,CN,China
WUX,Wuxi,Wuxi,CN,China
WXN,Wanzhou,Wanzhou,CN,China
XFN,Xiangyang,Xiangyang,CN,China
XIY,Xi'an Xianyang Apt,Xi'an,CN,China
XIC,Xichang,Xichang,CN,China
XMN,Xiamen,Xiamen,CN,China
XNN,Xining,Xining,CN,China
XUZ,Xuzhou,Xuzhou,CN,China
YBP,Yibin,Yibin,CN,China
YCU,Yuncheng,Yuncheng,CN,China
YIH,Yichang,Yichang,CN,China
YIW,Yiwu,Yiwu,CN,China
YNJ,Yanji,Yanji,CN,China
YKH,Yingkou,Yingkou,CN,China
YNT,Yantai,Yantai,CN,China
YNZ,Yancheng,Yancheng,CN,China
ZAT,Zhaotong,Zhaotong,CN,China
ZHA,Zhanjiang,Zhanjiang,CN,China
YSQ,Songyuan,Songyuan,CN,China
YTY,Yangzhou,Yangzhou,CN,China
ZUH,Zhuhai,Zhuhai,CN,China
ZUI,Zhuhai (CN) 00,Zhuhai (CN) 00,CN,China
YIN,Yining,Yining,CN,China
AEB,Baise,Baise,CN,China
AKU,Aksu,Aksu,CN,China
AAT,Altay,Altay,CN,China
CIH,Changzhi,Changzhi,CN,China
DIG,Deqen,Deqen,CN,China
GYS,Guangyuan,Guangyuan,CN,China
FUG,Fuyang,Fuyang,CN,China
GXH,Xiahe,Xiahe,CN,China
HEK,Heihe,Heihe,CN,China
JNZ,Jinzhou,Jinzhou,CN,China
JGN,Jiayuguan,Jiayuguan,CN,China
KRY,Karamay,Karamay,CN,China
LFQ,Linfen,Linfen,CN,China
TEN,Tongren,Tongren,CN,China
WMT,Zunyi (CN) 00,Zunyi (CN) 00,CN,China
ZQZ,Zhangjiakou,Zhangjiakou,CN,China
ZYI,Zunyi (CN) 00,Zunyi (CN) 00,CN,China
ZYK,Shekou,Shekou,CN,China
ZHY,Zhongwei,Zhongwei,CN,China
BFJ,Bijie,Bijie,CN,China
GMQ,Golog,Golog,CN,China
NBS,Baishan,Baishan,CN,China
PKX,Beijing Daxing Intl.,Beijing,CN,China
SQD,Shangrao,Shangrao,CN,China
TCZ,Tengchong,Tengchong,CN,China
WEF,Weifang,Weifang,CN,China
WUA,Wuhai,Wuhai,CN,China
XIL,Xilinhot,Xilinhot,CN,China
ACX,Xingyi,Xingyi,CN,China
CHG,Chaoyang,Chaoyang,CN,China
JIC,Jinchang,Jinchang,CN,China
LLV,LuLiang,LuLiang,CN,China
WGN,Shaoyang,Shaoyang,CN,China
YYA,Yueyang,Yueyang,CN,China
ZTI,Humen,Humen,CN,China
JZH,Jiuzhaigou,Jiuzhaigou,CN,China
RLK,Bayannur,Bayannur,CN,China
YIC,Yichun (Jiangxi),Yichun (Jiangxi),CN,China
ZGN,Zhongshan,Zhongshan,CN,China
