country_name,country,pop,source,state_name
Malta,MLT,436947,MLT,NA
Myanmar,MMR,52885223,MMR,NA
Middle East & North Africa (excluding high income),MNA,373719055,MNA,NA
Montenegro,MNE,622781,MNE,NA
Mongolia,MNG,3027398,MNG,NA
Northern Mariana Islands,MNP,55023,MNP,NA
Mozambique,MOZ,28829476,MOZ,NA
Mauritania,MRT,4301018,MRT,NA
Mauritius,MUS,1263473,MUS,NA
Malawi,MWI,18091575,MWI,NA
Malaysia,MYS,31187265,MYS,NA
North America,NAC,359479269,NAC,NA
Namibia,NAM,2479713,NAM,NA
New Caledonia,NCL,278000,NCL,NA
Niger,NER,20672987,NER,NA
Nigeria,NGA,185989640,NGA,NA
Nicaragua,NIC,6149928,NIC,NA
Netherlands,NLD,17018408,NLD,NA
Norway,NOR,5232929,NOR,NA
Nepal,NPL,28982771,NPL,NA
Nauru,NRU,13049,NRU,NA
New Zealand,NZL,4692700,NZL,NA
OECD members,OED,1289937319,OED,NA
Oman,OMN,4424762,OMN,NA
Other small states,OSS,29983809,OSS,NA
Pakistan,PAK,193203476,PAK,NA
Panama,PAN,4034119,PAN,NA
Peru,PER,31773839,PER,NA
Philippines,PHL,103320222,PHL,NA
Palau,PLW,21503,PLW,NA
Papua New Guinea,PNG,8084991,PNG,NA
Poland,POL,37948016,POL,NA
Pre-demographic dividend,PRE,879292453,PRE,NA
Puerto Rico,PRI,3411307,PRI,NA
"Korea, Dem. People’s Rep.",PRK,25368620,PRK,NA
Portugal,PRT,10324611,PRT,NA
Paraguay,PRY,6725308,PRY,NA
West Bank and Gaza,PSE,4551566,PSE,NA
Pacific island small states,PSS,2388875,PSS,NA
Post-demographic dividend,PST,1102730983,PST,NA
French Polynesia,PYF,280208,PYF,NA
Qatar,QAT,2569804,QAT,NA
Romania,ROU,19705301,ROU,NA
Russian Federation,RUS,144342396,RUS,NA
Rwanda,RWA,11917508,RWA,NA
South Asia,SAS,1766383450,SAS,NA
Saudi Arabia,SAU,32275687,SAU,NA
Sudan,SDN,39578828,SDN,NA
Senegal,SEN,15411614,SEN,NA
Singapore,SGP,5607283,SGP,NA
Solomon Islands,SLB,599419,SLB,NA
Sierra Leone,SLE,7396190,SLE,NA
El Salvador,SLV,6344722,SLV,NA
San Marino,SMR,33203,SMR,NA
Somalia,SOM,14317996,SOM,NA
Serbia,SRB,7057412,SRB,NA
Sub-Saharan Africa (excluding high income),SSA,1033011458,SSA,NA
South Sudan,SSD,12230730,SSD,NA
Sub-Saharan Africa,SSF,1033106135,SSF,NA
Small states,SST,39618156,SST,NA
Sao Tome and Principe,STP,199910,STP,NA
Suriname,SUR,558368,SUR,NA
Slovak Republic,SVK,5428704,SVK,NA
Slovenia,SVN,2064845,SVN,NA
Sweden,SWE,9903122,SWE,NA
Swaziland,SWZ,1343098,SWZ,NA
Sint Maarten (Dutch part),SXM,40005,SXM,NA
Seychelles,SYC,94677,SYC,NA
Syrian Arab Republic,SYR,18430453,SYR,NA
Turks and Caicos Islands,TCA,34900,TCA,NA
Chad,TCD,14452543,TCD,NA
East Asia & Pacific (IDA & IBRD countries),TEA,2026028438,TEA,NA
Europe & Central Asia (IDA & IBRD countries),TEC,455372659,TEC,NA
Togo,TGO,7606374,TGO,NA
Thailand,THA,68863514,THA,NA
Tajikistan,TJK,8734951,TJK,NA
Turkmenistan,TKM,5662544,TKM,NA
Latin America & the Caribbean (IDA & IBRD countries),TLA,621534921,TLA,NA
Timor-Leste,TLS,1268671,TLS,NA
Middle East & North Africa (IDA & IBRD countries),TMN,369167489,TMN,NA
Tonga,TON,107122,TON,NA
South Asia (IDA & IBRD),TSA,1766383450,TSA,NA
Sub-Saharan Africa (IDA & IBRD countries),TSS,1033106135,TSS,NA
Trinidad and Tobago,TTO,1364962,TTO,NA
Tunisia,TUN,11403248,TUN,NA
Turkey,TUR,79512426,TUR,NA
Tuvalu,TUV,11097,TUV,NA
Tanzania,TZA,55572201,TZA,NA
Uganda,UGA,41487965,UGA,NA
Ukraine,UKR,45004645,UKR,NA
Uruguay,URY,3444006,URY,NA
Uzbekistan,UZB,31848200,UZB,NA
St. Vincent and the Grenadines,VCT,109643,VCT,NA
"Venezuela, RB",VEN,31568179,VEN,NA
British Virgin Islands,VGB,30661,VGB,NA
Virgin Islands (U.S.),VIR,102951,VIR,NA
Vietnam,VNM,92701100,VNM,NA
Vanuatu,VUT,270402,VUT,NA
Samoa,WSM,195125,WSM,NA
Kosovo,XKX,1816200,XKX,NA
"Yemen, Rep.",YEM,27584213,YEM,NA
South Africa,ZAF,55908865,ZAF,NA
Zambia,ZMB,16591390,ZMB,NA
Zimbabwe,ZWE,16150362,ZWE,NA
China,CHN,19612368,Beijing,NA
China,CHN,12938693,Tianjin,NA
China,CHN,71854210,Hebei,NA
China,CHN,35712101,Shanxi,NA
China,CHN,24706291,Nei Mongol,NA
China,CHN,43746323,Liaoning,NA
China,CHN,27452815,Jilin,NA
China,CHN,38313991,Heilongjiang,NA
China,CHN,23019196,Shanghai,NA
China,CHN,78660941,Jiangsu,NA
China,CHN,54426891,Zhejiang,NA
China,CHN,59500468,Anhui,NA
China,CHN,36894217,Fujian,NA
China,CHN,44567797,Jiangxi,NA
China,CHN,95792719,Shandong,NA
China,CHN,94029939,Henan,NA
China,CHN,57237727,Hubei,NA
China,CHN,65700762,Hunan,NA
China,CHN,104320459,Guangdong,NA
China,CHN,46023761,Guangxi,NA
China,CHN,8671485,Hainan,NA
China,CHN,28846170,Chongqing,NA
China,CHN,80417528,Sichuan,NA
China,CHN,34748556,Guizhou,NA
China,CHN,45966766,Yunnan,NA
China,CHN,3002165,Tibet,NA
China,CHN,37327379,Shaanxi,NA
China,CHN,25575263,Gansu,NA
China,CHN,5626723,Qinghai,NA
China,CHN,6301350,Ningxia,NA
China,CHN,21815815,Xinjiang,NA
