country_name,country,pop,source,state_name
Guam,GUM,164229,GUM,GUM
Virgin Islands,VIR,107268,VIR,VIR
Puerto Rico,PRI,3195000,PRI,PRI
American Samoa,ASM,55641,ASM,ASM
Northern Mariana Islands,MNP,55144,MNP,MNP
